registro_id,lote_id,finca_id,fecha_registro,tecnico_id,vecino_fumigo_reciente,dias_desde_fumigacion_vecina,despulpadora_compartida,sacos_reutilizados,secado_patio_compartido,transporte_compartido,herramientas_compartidas_flag,lavado_equipo_flag,capacitacion_bpa_flag,lat_gps,lon_gps,origen_captura,practicas_riesgo_conteo,equipo_compartido_sin_lavar,fumigacion_declarada,fumigacion_desconocida
RC0000019,L000019,F0090,2026-05-28,TEC11,Si,19,1,0,1,1,1,0,0,-6.199439,-77.817902,dashboard_acopio,3,1,1,0
RC0000020,L000020,F0029,2025-05-25,TEC04,No_se_sabe,-1,0,0,0,0,0,1,1,-6.194621,-77.845271,cola_kafka,0,0,0,1
RC0000021,L000021,F0051,2026-05-03,TEC09,No,-1,0,0,0,0,0,1,1,-6.225549,-77.931033,dashboard_acopio,0,0,0,0
RC0000022,L000022,F0110,2026-04-07,TEC06,Si,12,0,0,0,0,0,1,1,-6.272599,-77.878751,formulario_campo,0,0,1,0
RC0000023,L000023,F0030,2026-05-08,TEC02,No,-1,0,0,0,0,0,0,1,-6.208083,-77.903651,cola_kafka,0,0,0,0
RC0000024,L000024,F0066,2025-04-03,TEC01,No,-1,1,1,1,1,1,0,0,-6.262183,-77.809213,formulario_campo,4,1,0,0
RC0000025,L000025,F0093,2026-05-21,TEC03,No,-1,0,1,1,1,1,1,1,-6.244711,-77.904929,cola_kafka,3,0,0,0
RC0000026,L000026,F0091,2026-05-02,TEC02,No,-1,0,1,1,0,1,1,0,-6.220352,-77.875222,formulario_campo,2,0,0,0
RC0000027,L000027,F0050,2025-09-21,TEC02,Si,4,0,1,0,1,1,1,1,-6.29954,-77.913844,formulario_campo,2,0,1,0
RC0000028,L000028,F0043,2026-04-02,TEC01,No_se_sabe,-1,0,0,0,1,1,0,1,-6.172616,-77.945064,formulario_campo,1,0,0,1
RC0000029,L000029,F0059,2026-04-20,TEC04,Si,26,1,1,1,1,1,1,1,-6.24913,-77.973602,dashboard_acopio,4,0,1,0
RC0000030,L000030,F0082,2025-09-21,TEC01,Si,40,0,0,1,0,1,0,0,-6.194486,-77.869402,cola_kafka,1,0,1,0
RC0000031,L000031,F0042,2025-08-24,TEC07,No,-1,0,0,0,1,1,1,1,-6.208507,-77.964951,formulario_campo,1,0,0,0
RC0000032,L000032,F0075,2025-04-14,TEC03,Si,19,0,0,0,0,0,1,1,-6.228561,-77.936476,formulario_campo,0,0,1,0
RC0000033,L000033,F0031,2025-08-01,TEC11,No,-1,0,0,0,1,1,1,1,-6.245155,-77.930438,formulario_campo,1,0,0,0
RC0000034,L000034,F0024,2025-05-12,TEC02,No_se_sabe,-1,0,1,0,0,1,1,0,-6.335756,-77.801883,cola_kafka,1,0,0,1
RC0000035,L000035,F0101,2026-08-15,TEC07,Si,23,0,0,0,0,0,0,0,-6.335316,-77.859082,formulario_campo,0,0,1,0
RC0000036,L000036,F0008,2025-05-07,TEC08,No,-1,0,0,0,0,0,1,1,-6.280608,-77.903057,cola_kafka,0,0,0,0
RC0000037,L000037,F0111,2025-07-13,TEC05,No,-1,1,1,1,0,1,1,0,-6.237013,-77.857665,formulario_campo,3,0,0,0
RC0000038,L000038,F0089,2025-05-09,TEC08,Si,15,0,0,0,0,0,1,0,-6.214128,-77.849594,formulario_campo,0,0,1,0
RC0000039,L000039,F0064,2026-04-27,TEC06,No,-1,0,1,1,1,1,1,1,-6.273764,-77.802942,formulario_campo,3,0,0,0
RC0000040,L000040,F0102,2026-05-31,TEC10,Si,24,0,1,0,0,1,1,1,-6.277064,-77.94374,formulario_campo,1,0,1,0
RC0000041,L000041,F0082,2026-07-03,TEC05,No_se_sabe,-1,0,1,1,0,1,0,1,-6.194677,-77.869349,cola_kafka,2,0,0,1
RC0000042,L000042,F0063,2025-04-20,TEC08,No,-1,0,0,1,0,1,1,1,-6.241606,-77.958036,cola_kafka,1,0,0,0
RC0000043,L000043,F0066,2025-02-28,TEC12,Si,12,0,0,1,0,1,1,0,-6.262363,-77.810065,formulario_campo,1,0,1,0
RC0000044,L000044,F0093,2026-07-30,TEC01,Si,10,1,0,1,1,1,0,0,-6.244835,-77.904403,formulario_campo,3,1,1,0
RC0000045,L000045,F0093,2026-08-05,TEC01,No_se_sabe,-1,1,0,0,1,1,0,1,-6.24458,-77.905079,cola_kafka,2,1,0,1
RC0000046,L000046,F0022,2026-06-18,TEC01,No_se_sabe,-1,1,0,1,1,1,0,0,-6.253944,-77.858703,formulario_campo,3,1,0,1
RC0000047,L000047,F0040,2026-08-19,TEC02,No_se_sabe,-1,0,1,0,0,1,0,0,-6.173203,-77.908581,formulario_campo,1,0,0,1
RC0000048,L000048,F0112,2026-04-13,TEC06,No,-1,1,0,0,1,1,0,0,-6.275673,-77.861331,cola_kafka,2,1,0,0
RC0000049,L000049,F0080,2025-02-13,TEC07,No_se_sabe,-1,0,0,0,0,0,1,1,-6.268321,-77.912096,dashboard_acopio,0,0,0,1
RC0000050,L000050,F0004,2025-09-05,TEC12,No_se_sabe,-1,0,0,1,0,1,0,0,-6.260795,-77.963614,formulario_campo,1,0,0,1
RC0000051,L000051,F0053,2026-08-07,TEC08,Si,6,0,0,1,0,1,1,0,-6.258681,-77.9045,formulario_campo,1,0,1,0
RC0000052,L000052,F0019,2025-11-03,TEC07,Si,18,0,0,1,0,1,1,1,-6.22824,-77.860946,formulario_campo,1,0,1,0
RC0000053,L000053,F0046,2026-07-01,TEC06,Si,44,1,0,0,0,1,0,0,-6.279589,-77.880702,cola_kafka,1,1,1,0
RC0000054,L000054,F0027,2025-08-29,TEC06,Si,5,0,0,0,0,0,1,1,-6.277399,-77.792452,dashboard_acopio,0,0,1,0
RC0000055,L000055,F0111,2026-04-03,TEC01,No_se_sabe,-1,1,0,0,0,1,0,0,-6.236491,-77.857765,cola_kafka,1,1,0,1
RC0000056,L000056,F0013,2025-07-11,TEC10,No,-1,1,1,0,0,1,0,0,-6.149045,-77.807894,dashboard_acopio,2,1,0,0
RC0000057,L000057,F0009,2025-06-24,TEC01,No,-1,0,0,1,1,1,1,1,-6.273688,-77.825607,dashboard_acopio,2,0,0,0
RC0000058,L000058,F0098,2026-07-07,TEC03,Si,40,0,0,0,0,0,1,1,-6.211979,-77.89905,formulario_campo,0,0,1,0
RC0000059,L000059,F0072,2026-07-30,TEC03,No,-1,0,1,1,1,1,1,1,-6.083279,-77.826903,cola_kafka,3,0,0,0
RC0000060,L000060,F0102,2025-04-13,TEC02,No,-1,0,0,1,0,1,0,0,-6.27598,-77.942943,formulario_campo,1,0,0,0
RC0000061,L000061,F0076,2025-01-27,TEC10,Si,13,0,0,0,0,0,1,1,-6.314879,-77.90929,formulario_campo,0,0,1,0
RC0000062,L000062,F0028,2025-04-09,TEC06,Si,6,0,0,1,1,1,1,1,-6.233465,-77.852948,formulario_campo,2,0,1,0
RC0000063,L000063,F0003,2025-07-04,TEC03,No,-1,1,0,0,0,1,0,0,-6.214124,-77.819687,formulario_campo,1,1,0,0
RC0000064,L000064,F0087,2026-05-24,TEC12,Si,32,0,1,0,1,1,1,0,-6.20774,-77.798163,dashboard_acopio,2,0,1,0
RC0000065,L000065,F0020,2025-06-19,TEC09,No,-1,1,1,1,1,1,0,0,-6.202787,-77.891227,formulario_campo,4,1,0,0
RC0000066,L000066,F0084,2025-12-12,TEC05,Si,38,0,0,0,0,0,1,1,-6.172419,-77.857615,cola_kafka,0,0,1,0
RC0000067,L000067,F0017,2026-07-04,TEC09,No_se_sabe,-1,0,0,0,0,0,1,0,-6.271558,-77.856267,formulario_campo,0,0,0,1
RC0000068,L000068,F0003,2025-09-08,TEC09,Si,17,0,0,0,1,1,1,1,-6.214828,-77.819368,formulario_campo,1,0,1,0
RC0000069,L000069,F0007,2025-07-26,TEC09,No_se_sabe,-1,0,0,0,0,0,1,1,-6.197517,-77.905952,cola_kafka,0,0,0,1
RC0000070,L000070,F0006,2025-01-19,TEC06,No,-1,0,1,1,1,1,0,1,-6.231424,-77.790999,formulario_campo,3,0,0,0
RC0000071,L000071,F0050,2025-06-28,TEC09,Si,12,1,1,1,1,1,0,0,-6.30005,-77.914509,dashboard_acopio,4,1,1,0
RC0000072,L000072,F0051,2026-08-24,TEC10,Si,8,0,0,0,1,1,1,1,-6.226978,-77.931861,cola_kafka,1,0,1,0
RC0000073,L000073,F0073,2025-07-16,TEC11,No,-1,0,0,1,1,1,1,1,-6.195464,-77.917998,formulario_campo,2,0,0,0
RC0000074,L000074,F0034,2026-04-10,TEC12,Si,42,1,0,0,1,1,1,0,-6.210115,-77.884509,formulario_campo,2,0,1,0
RC0000075,L000075,F0118,2025-08-01,TEC07,Si,41,0,1,1,0,1,0,0,-6.277025,-77.832482,formulario_campo,2,0,1,0
RC0000076,L000076,F0096,2026-04-13,TEC03,No,-1,0,0,0,1,1,1,1,-6.147548,-77.809846,dashboard_acopio,1,0,0,0
RC0000077,L000077,F0050,2026-07-17,TEC01,No,-1,1,0,0,0,1,1,1,-6.299184,-77.915216,dashboard_acopio,1,0,0,0
RC0000078,L000078,F0004,2025-04-07,TEC08,No,-1,1,0,0,0,1,1,0,-6.261876,-77.96438,formulario_campo,1,0,0,0
RC0000079,L000079,F0056,2025-04-17,TEC03,No_se_sabe,-1,0,1,0,1,1,0,0,-6.208692,-77.901968,dashboard_acopio,2,0,0,1
RC0000080,L000080,F0039,2026-03-11,TEC04,No,-1,1,0,0,0,1,1,1,-6.219548,-77.782921,formulario_campo,1,0,0,0
RC0000081,L000081,F0069,2025-06-07,TEC10,No_se_sabe,-1,0,1,1,1,1,1,0,-6.31727,-77.83479,formulario_campo,3,0,0,1
RC0000082,L000082,F0096,2026-04-03,TEC06,No,-1,0,0,0,0,0,1,1,-6.146593,-77.808834,formulario_campo,0,0,0,0
RC0000083,L000083,F0001,2026-07-26,TEC02,Si,19,1,0,0,0,1,1,0,-6.237531,-77.780496,formulario_campo,1,0,1,0
RC0000084,L000084,F0075,2025-05-31,TEC01,No,-1,1,0,1,0,1,0,0,-6.227803,-77.936896,dashboard_acopio,2,1,0,0
RC0000085,L000085,F0017,2026-05-28,TEC04,Si,17,0,1,0,0,1,1,1,-6.270485,-77.855649,cola_kafka,1,0,1,0
RC0000086,L000086,F0042,2025-03-04,TEC09,No,-1,1,1,1,1,1,0,0,-6.209084,-77.964145,cola_kafka,4,1,0,0
RC0000087,L000087,F0068,2025-08-13,TEC02,No_se_sabe,-1,1,0,0,1,1,0,1,-6.152335,-77.88022,formulario_campo,2,1,0,1
RC0000088,L000088,F0024,2026-08-25,TEC07,Si,19,0,1,0,1,1,1,1,-6.335207,-77.802115,formulario_campo,2,0,1,0
RC0000089,L000089,F0002,2026-05-31,TEC06,Si,37,1,0,1,0,1,1,1,-6.218013,-77.93144,formulario_campo,2,0,1,0
RC0000090,L000090,F0120,2025-08-15,TEC10,Si,28,0,0,0,0,0,1,1,-6.220741,-77.876799,formulario_campo,0,0,1,0
RC0000091,L000091,F0080,2025-05-19,TEC11,Si,43,0,0,1,1,1,1,0,-6.268526,-77.911559,formulario_campo,2,0,1,0
RC0000092,L000092,F0004,2026-08-12,TEC02,No,-1,1,0,1,1,1,1,0,-6.261684,-77.963991,cola_kafka,3,0,0,0
RC0000093,L000093,F0080,2026-07-28,TEC10,No,-1,1,0,0,0,1,1,0,-6.268786,-77.912348,formulario_campo,1,0,0,0
RC0000094,L000094,F0017,2025-06-29,TEC01,No_se_sabe,-1,1,1,0,1,1,0,0,-6.27172,-77.855574,formulario_campo,3,1,0,1
RC0000095,L000095,F0053,2026-06-18,TEC01,No,-1,0,0,0,0,0,1,1,-6.258819,-77.904541,cola_kafka,0,0,0,0
RC0000096,L000096,F0047,2026-04-21,TEC02,Si,12,0,0,0,1,1,1,1,-6.189188,-77.796831,formulario_campo,1,0,1,0
RC0000097,L000097,F0033,2026-08-20,TEC09,No_se_sabe,-1,0,1,0,0,1,1,1,-6.207804,-77.892575,formulario_campo,1,0,0,1
RC0000098,L000098,F0094,2025-05-26,TEC02,No_se_sabe,-1,0,0,0,1,1,1,0,-6.268641,-77.942204,formulario_campo,1,0,0,1
RC0000099,L000099,F0072,2025-06-06,TEC04,No,-1,0,0,0,0,0,1,1,-6.083384,-77.82903,formulario_campo,0,0,0,0
RC0000100,L000100,F0038,2025-07-25,TEC09,No_se_sabe,-1,1,0,1,0,1,0,0,-6.241904,-77.856185,cola_kafka,2,1,0,1
RC0000101,L000101,F0007,2025-04-30,TEC12,No,-1,0,0,1,0,1,1,1,-6.196133,-77.904729,formulario_campo,1,0,0,0
RC0000102,L000102,F0034,2026-03-17,TEC12,Si,14,0,1,0,1,1,1,0,-6.211577,-77.884913,formulario_campo,2,0,1,0
RC0000103,L000103,F0019,2026-05-17,TEC12,No,-1,0,0,0,0,0,1,1,-6.228828,-77.860153,dashboard_acopio,0,0,0,0
RC0000104,L000104,F0019,2026-04-19,TEC12,No,-1,0,1,0,0,1,1,1,-6.227489,-77.860628,formulario_campo,1,0,0,0
RC0000105,L000105,F0049,2025-01-29,TEC09,Si,8,1,0,0,0,1,1,0,-6.195294,-77.914718,dashboard_acopio,1,0,1,0
RC0000106,L000106,F0062,2026-07-13,TEC02,No,-1,0,1,1,1,1,1,0,-6.19497,-77.845711,formulario_campo,3,0,0,0
RC0000107,L000107,F0014,2025-05-20,TEC07,No_se_sabe,-1,0,0,0,0,0,1,1,-6.253023,-77.7989,formulario_campo,0,0,0,1
RC0000108,L000108,F0074,2025-04-13,TEC06,No_se_sabe,-1,0,0,0,0,0,1,1,-6.272818,-77.869883,formulario_campo,0,0,0,1
RC0000109,L000109,F0102,2025-06-12,TEC12,No,-1,1,0,1,0,1,1,1,-6.276357,-77.941985,formulario_campo,2,0,0,0
RC0000110,L000110,F0109,2026-08-05,TEC10,Si,7,0,0,0,0,0,1,0,-6.252301,-77.891972,dashboard_acopio,0,0,1,0
RC0000111,L000111,F0001,2025-08-31,TEC09,Si,44,1,1,0,0,1,1,0,-6.237308,-77.781054,dashboard_acopio,2,0,1,0
RC0000112,L000112,F0080,2026-07-03,TEC04,No_se_sabe,-1,0,1,0,0,1,0,0,-6.26841,-77.912155,dashboard_acopio,1,0,0,1
RC0000113,L000113,F0051,2026-07-03,TEC05,Si,17,0,0,0,0,0,1,1,-6.226709,-77.931104,formulario_campo,0,0,1,0
RC0000114,L000114,F0031,2025-06-25,TEC10,No,-1,0,1,1,1,1,0,0,-6.244793,-77.93092,formulario_campo,3,0,0,0
RC0000115,L000115,F0070,2025-05-21,TEC12,No,-1,0,0,1,0,1,1,1,-6.190124,-77.846912,cola_kafka,1,0,0,0
RC0000116,L000116,F0055,2026-05-05,TEC02,No_se_sabe,-1,0,0,0,0,0,1,1,-6.241743,-77.879949,cola_kafka,0,0,0,1
RC0000117,L000117,F0042,2026-07-04,TEC01,No_se_sabe,-1,1,1,1,0,1,0,0,-6.208217,-77.965126,dashboard_acopio,3,1,0,1
RC0000118,L000118,F0007,2026-01-10,TEC10,No_se_sabe,-1,0,0,1,0,1,0,0,-6.197734,-77.904876,formulario_campo,1,0,0,1
RC0000119,L000119,F0075,2025-05-25,TEC02,No,-1,0,1,0,1,1,0,1,-6.228135,-77.938545,cola_kafka,2,0,0,0
RC0000120,L000120,F0072,2026-04-07,TEC01,No_se_sabe,-1,0,1,0,1,1,1,0,-6.083294,-77.827065,formulario_campo,2,0,0,1
RC0000121,L000121,F0082,2026-05-06,TEC06,No_se_sabe,-1,1,1,1,0,1,0,0,-6.194974,-77.869696,dashboard_acopio,3,1,0,1
RC0000122,L000122,F0069,2026-08-03,TEC03,Si,14,0,1,1,0,1,1,1,-6.317972,-77.833868,formulario_campo,2,0,1,0
RC0000123,L000123,F0030,2025-09-15,TEC11,Si,3,0,0,1,0,1,1,1,-6.209305,-77.904058,formulario_campo,1,0,1,0
RC0000124,L000124,F0040,2026-06-28,TEC09,Si,23,1,1,1,0,1,0,0,-6.173629,-77.908546,dashboard_acopio,3,1,1,0
RC0000125,L000125,F0111,2025-06-01,TEC12,Si,10,0,1,1,0,1,0,1,-6.236161,-77.856354,cola_kafka,2,0,1,0
RC0000126,L000126,F0074,2026-04-04,TEC09,No_se_sabe,-1,0,0,0,1,1,1,1,-6.2737,-77.870123,cola_kafka,1,0,0,1
RC0000127,L000127,F0085,2025-05-27,TEC06,Si,32,0,0,0,0,0,1,1,-6.275861,-77.855099,dashboard_acopio,0,0,1,0
RC0000128,L000128,F0063,2025-05-15,TEC12,No,-1,1,0,1,0,1,0,0,-6.24222,-77.958639,formulario_campo,2,1,0,0
RC0000129,L000129,F0088,2025-07-20,TEC12,No_se_sabe,-1,0,0,0,0,0,0,0,-6.277076,-77.844392,dashboard_acopio,0,0,0,1
RC0000130,L000130,F0037,2025-08-10,TEC07,Si,30,0,1,0,0,1,1,1,-6.203061,-77.861485,formulario_campo,1,0,1,0
RC0000131,L000131,F0081,2026-07-01,TEC12,No,-1,1,0,1,0,1,0,1,-6.150651,-77.940936,formulario_campo,2,1,0,0
RC0000132,L000132,F0046,2026-06-21,TEC11,No,-1,0,0,1,0,1,1,1,-6.27997,-77.880553,cola_kafka,1,0,0,0
RC0000133,L000133,F0037,2025-06-09,TEC02,Si,33,0,0,0,1,1,0,1,-6.203522,-77.860536,formulario_campo,1,0,1,0
RC0000134,L000134,F0078,2026-07-17,TEC09,No_se_sabe,-1,0,0,0,0,0,0,1,-6.261131,-77.8197,dashboard_acopio,0,0,0,1
RC0000135,L000135,F0077,2025-06-10,TEC01,No,-1,1,0,0,0,1,0,0,-6.226886,-77.837705,formulario_campo,1,1,0,0
RC0000136,L000136,F0068,2025-04-26,TEC12,Si,10,1,0,0,1,1,0,0,-6.153546,-77.880212,formulario_campo,2,1,1,0
RC0000137,L000137,F0070,2026-07-30,TEC04,No,-1,0,1,0,0,1,1,1,-6.190973,-77.845578,formulario_campo,1,0,0,0
RC0000138,L000138,F0005,2026-01-29,TEC08,Si,4,1,0,0,1,1,1,1,-6.205037,-77.897585,dashboard_acopio,2,0,1,0
RC0000139,L000139,F0016,2025-07-24,TEC03,Si,28,0,1,1,1,1,1,0,-6.242823,-77.874019,cola_kafka,3,0,1,0
RC0000140,L000140,F0050,2025-07-02,TEC06,No,-1,1,0,0,0,1,1,1,-6.299967,-77.914329,dashboard_acopio,1,0,0,0
RC0000141,L000141,F0068,2025-07-25,TEC09,No,-1,0,0,0,0,0,1,1,-6.153902,-77.880113,formulario_campo,0,0,0,0
RC0000142,L000142,F0084,2026-06-24,TEC01,No_se_sabe,-1,0,0,1,0,1,1,0,-6.171944,-77.85842,formulario_campo,1,0,0,1
RC0000143,L000143,F0006,2026-04-13,TEC03,Si,18,1,1,1,0,1,1,0,-6.231408,-77.791435,dashboard_acopio,3,0,1,0
RC0000144,L000144,F0034,2025-05-25,TEC03,No,-1,1,0,1,1,1,1,1,-6.210524,-77.884037,dashboard_acopio,3,0,0,0
RC0000145,L000145,F0012,2026-06-18,TEC04,No_se_sabe,-1,0,0,0,0,0,0,1,-6.22889,-77.897908,cola_kafka,0,0,0,1
RC0000146,L000146,F0085,2025-05-13,TEC05,No_se_sabe,-1,0,0,0,0,0,1,1,-6.277089,-77.854693,dashboard_acopio,0,0,0,1
RC0000147,L000147,F0073,2025-10-17,TEC04,Si,42,0,0,0,0,0,1,1,-6.195688,-77.917045,formulario_campo,0,0,1,0
RC0000148,L000148,F0049,2025-11-23,TEC09,Si,24,0,0,1,0,1,1,0,-6.195166,-77.915816,formulario_campo,1,0,1,0
RC0000149,L000149,F0060,2026-06-28,TEC07,Si,28,1,1,0,1,1,1,0,-6.300517,-77.829356,formulario_campo,3,0,1,0
RC0000150,L000150,F0022,2025-04-25,TEC03,Si,41,0,0,1,1,1,1,0,-6.252396,-77.857462,formulario_campo,2,0,1,0
RC0000151,L000151,F0078,2026-06-26,TEC09,Si,3,1,0,0,0,1,1,0,-6.261519,-77.819506,dashboard_acopio,1,0,1,0
RC0000152,L000152,F0094,2025-05-30,TEC04,No,-1,0,0,0,1,1,0,0,-6.269115,-77.940584,dashboard_acopio,1,0,0,0
RC0000153,L000153,F0067,2025-04-11,TEC06,No_se_sabe,-1,1,0,0,0,1,1,1,-6.266948,-77.767444,formulario_campo,1,0,0,1
RC0000154,L000154,F0107,2026-06-28,TEC09,No,-1,0,0,0,0,0,1,1,-6.22782,-77.903479,dashboard_acopio,0,0,0,0
RC0000155,L000155,F0102,2025-09-28,TEC01,Si,7,0,1,0,1,1,1,1,-6.276984,-77.942584,dashboard_acopio,2,0,1,0
RC0000156,L000156,F0080,2026-04-29,TEC03,Si,12,0,1,0,1,1,1,1,-6.268372,-77.912656,formulario_campo,2,0,1,0
RC0000157,L000157,F0029,2025-05-25,TEC09,No_se_sabe,-1,0,1,0,0,1,1,1,-6.19376,-77.843643,dashboard_acopio,1,0,0,1
RC0000158,L000158,F0039,2026-03-19,TEC03,Si,1,1,1,0,0,1,1,1,-6.221134,-77.783933,formulario_campo,2,0,1,0
RC0000159,L000159,F0064,2025-11-09,TEC02,Si,39,0,1,1,1,1,1,0,-6.272563,-77.803605,formulario_campo,3,0,1,0
RC0000160,L000160,F0066,2025-08-13,TEC07,No_se_sabe,-1,0,0,0,0,0,1,1,-6.261778,-77.809376,formulario_campo,0,0,0,1
RC0000161,L000161,F0093,2026-04-30,TEC06,No_se_sabe,-1,1,0,1,0,1,0,0,-6.243528,-77.904678,dashboard_acopio,2,1,0,1
RC0000162,L000162,F0061,2026-08-22,TEC12,No,-1,0,0,0,1,1,0,0,-6.243526,-77.863179,formulario_campo,1,0,0,0
RC0000163,L000163,F0020,2025-07-16,TEC12,No,-1,1,1,0,1,1,1,1,-6.202382,-77.891484,formulario_campo,3,0,0,0
RC0000164,L000164,F0038,2025-06-29,TEC10,No_se_sabe,-1,0,0,0,0,0,0,1,-6.242898,-77.855869,formulario_campo,0,0,0,1
RC0000165,L000165,F0051,2025-09-17,TEC05,Si,15,0,0,1,0,1,1,0,-6.225789,-77.932989,dashboard_acopio,1,0,1,0
RC0000166,L000166,F0025,2026-07-04,TEC01,Si,31,0,0,1,1,1,0,0,-6.231648,-77.955461,dashboard_acopio,2,0,1,0
RC0000167,L000167,F0088,2026-06-03,TEC05,Si,26,0,0,1,0,1,0,1,-6.27674,-77.844472,formulario_campo,1,0,1,0
RC0000168,L000168,F0104,2025-08-16,TEC08,No,-1,1,0,1,0,1,1,1,-6.209945,-77.8624,cola_kafka,2,0,0,0
RC0000169,L000169,F0084,2026-05-20,TEC01,Si,11,1,1,1,1,1,0,0,-6.17246,-77.857736,formulario_campo,4,1,1,0
RC0000170,L000170,F0001,2026-05-11,TEC09,No,-1,0,1,1,0,1,1,1,-6.23603,-77.78119,cola_kafka,2,0,0,0
RC0000171,L000171,F0014,2025-08-27,TEC01,No_se_sabe,-1,0,1,0,0,1,1,1,-6.253043,-77.798392,cola_kafka,1,0,0,1
RC0000172,L000172,F0017,2025-04-10,TEC09,Si,36,1,0,0,0,1,1,1,-6.2719,-77.856135,cola_kafka,1,0,1,0
RC0000173,L000173,F0059,2026-06-05,TEC02,Si,7,0,1,0,1,1,1,1,-6.249189,-77.973553,formulario_campo,2,0,1,0
RC0000174,L000174,F0069,2026-01-27,TEC09,Si,33,0,0,1,1,1,1,0,-6.317054,-77.834383,cola_kafka,2,0,1,0
RC0000175,L000175,F0001,2026-06-20,TEC09,No_se_sabe,-1,1,0,1,0,1,0,0,-6.237353,-77.780568,formulario_campo,2,1,0,1
RC0000176,L000176,F0078,2025-04-19,TEC01,No,-1,1,0,0,0,1,1,1,-6.260847,-77.819776,dashboard_acopio,1,0,0,0
RC0000177,L000177,F0055,2025-09-24,TEC12,Si,14,0,0,1,0,1,1,0,-6.241565,-77.879678,cola_kafka,1,0,1,0
RC0000178,L000178,F0040,2026-06-23,TEC02,Si,25,0,0,0,1,1,1,1,-6.175442,-77.909633,formulario_campo,1,0,1,0
RC0000179,L000179,F0067,2026-04-12,TEC10,No_se_sabe,-1,1,0,1,0,1,0,0,-6.267733,-77.769041,cola_kafka,2,1,0,1
RC0000180,L000180,F0051,2026-04-05,TEC03,No,-1,0,0,0,0,0,1,1,-6.226271,-77.931473,formulario_campo,0,0,0,0
RC0000181,L000181,F0082,2025-04-18,TEC07,Si,34,0,0,1,0,1,1,1,-6.194546,-77.870444,formulario_campo,1,0,1,0
RC0000182,L000182,F0004,2025-09-02,TEC06,No,-1,0,0,0,0,0,0,0,-6.260499,-77.964292,dashboard_acopio,0,0,0,0
RC0000183,L000183,F0045,2026-03-04,TEC11,No_se_sabe,-1,1,0,0,1,1,0,0,-6.249528,-77.828372,cola_kafka,2,1,0,1
