lote_id,finca_id,empresa_exportadora,peso_quintales,destino_previsto,p_contaminado,decil_riesgo,alerta_modelo,en_cuarentena,decision,motivo,valor_asignado_usd,lote_contaminado
L003729,F0009,Coop. Norandino,61.6,Japon,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,9856.0,1
L001712,F0009,Coop. Norandino,126.5,Belgica,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,20240.0,1
L002013,F0009,Coop. Norandino,122.4,Francia,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,19584.0,1
L003832,F0028,Coop. Norandino,45.3,Alemania,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,7248.0,0
L002334,F0033,Olam Peru,63.4,Estados_Unidos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,10144.0,1
L000097,F0033,Olam Peru,70.8,Estados_Unidos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,11328.0,1
L000385,F0028,Coop. Norandino,109.7,Nacional,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,17552.0,1
L001679,F0033,Olam Peru,55.2,Francia,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,8832.0,1
L001945,F0009,Coop. Norandino,223.8,Francia,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,35808.0,1
L001351,F0103,Coop. Norandino,124.2,Paises_Bajos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,19872.0,1
L004108,F0047,Cenfrocafe,100.8,Francia,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,16128.0,1
L003426,F0099,Coop. Norandino,215.0,Estados_Unidos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,34400.0,1
L002987,F0099,Coop. Norandino,105.6,Estados_Unidos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,16896.0,1
L000227,F0099,Coop. Norandino,160.6,Estados_Unidos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,25696.0,1
L001901,F0099,Coop. Norandino,301.2,Estados_Unidos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,48192.0,1
L001398,F0047,Cenfrocafe,156.0,Paises_Bajos,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,24960.0,1
L002577,F0047,Cenfrocafe,318.7,Nacional,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,50992.0,1
L002793,F0047,Cenfrocafe,99.0,Belgica,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,15840.0,1
L001773,F0118,Olam Peru,107.8,Alemania,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,17248.0,1
L000310,F0027,Cenfrocafe,116.6,Nacional,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,18656.0,0
L001165,F0105,Perhusa,128.0,Japon,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,20480.0,1
L001667,F0118,Olam Peru,56.3,Nacional,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,9008.0,0
L000264,F0118,Olam Peru,159.6,Paises_Bajos,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,25536.0,1
L000956,F0105,Perhusa,167.2,Japon,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,26752.0,0
L003882,F0009,Coop. Norandino,137.5,Alemania,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,22000.0,1
L004032,F0038,Cenfrocafe,169.5,Estados_Unidos,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,27120.0,1
L001717,F0033,Olam Peru,160.1,Francia,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,25616.0,1
L001094,F0047,Cenfrocafe,144.1,Estados_Unidos,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,23056.0,1
L001008,F0105,Perhusa,135.9,Nacional,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,21744.0,1
L000276,F0038,Cenfrocafe,88.8,Nacional,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,14208.0,0
L002815,F0038,Cenfrocafe,306.6,Nacional,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,49056.0,0
L001423,F0028,Coop. Norandino,262.7,Belgica,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,42032.0,0
L003189,F0038,Cenfrocafe,220.2,Belgica,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,35232.0,1
L002811,F0038,Cenfrocafe,212.0,Alemania,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,33920.0,1
L001547,F0090,Olam Peru,94.3,Paises_Bajos,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,15088.0,1
L000610,F0027,Cenfrocafe,152.3,Japon,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,24368.0,0
L001570,F0038,Cenfrocafe,171.8,Alemania,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,27488.0,1
L004146,F0027,Cenfrocafe,80.7,Alemania,0.9032258064516129,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,12912.0,1
L004143,F0105,Perhusa,164.5,Paises_Bajos,0.8723242811870359,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,26320.0,0
L001412,F0027,Cenfrocafe,114.8,Francia,0.7998068477185322,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,18368.0,1
L003343,F0047,Cenfrocafe,70.0,Paises_Bajos,0.75,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,11200.0,1
L002929,F0118,Olam Peru,111.4,Estados_Unidos,0.75,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,17824.0,1
L002238,F0049,Olam Peru,171.9,Japon,0.6486486486486487,1,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,27504.0,0
L000394,F0002,Cenfrocafe,126.3,Alemania,0.6486486486486487,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,20208.0,1
L003473,F0002,Cenfrocafe,161.2,Nacional,0.6486486486486487,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,25792.0,1
L003233,F0099,Coop. Norandino,246.1,Alemania,0.6486486486486487,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,39376.0,1
L003260,F0090,Olam Peru,234.7,Estados_Unidos,0.6486486486486487,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,37552.0,1
L001621,F0033,Olam Peru,100.0,Belgica,0.6486486486486487,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,16000.0,1
L000848,F0105,Perhusa,119.3,Alemania,0.6486486486486487,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,19088.0,0
L003372,F0105,Perhusa,111.0,Estados_Unidos,0.6486486486486487,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,17760.0,0
L003102,F0029,Olam Peru,118.9,Paises_Bajos,0.6486486486486487,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,19024.0,0
L004150,F0089,Olam Peru,176.5,Alemania,0.6486486486486487,1,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,28240.0,0
L001022,F0098,Cenfrocafe,157.8,Francia,0.6486486486486487,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,25248.0,1
L001944,F0022,Olam Peru,174.8,Nacional,0.6486486486486487,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,27968.0,0
L002448,F0087,Cenfrocafe,249.5,Nacional,0.6486486486486487,1,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,39920.0,1
L000563,F0044,Coop. Norandino,162.7,Belgica,0.6486486486486487,1,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,26032.0,0
L002250,F0064,Cenfrocafe,128.7,Belgica,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,20592.0,1
L003850,F0067,Olam Peru,113.0,Estados_Unidos,0.5714285714285714,2,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,18080.0,0
L003312,F0049,Olam Peru,121.0,Alemania,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,19360.0,1
L000496,F0112,Perhusa,171.9,Alemania,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,27504.0,0
L000202,F0006,Olam Peru,98.5,Alemania,0.5714285714285714,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,15760.0,1
L001723,F0120,Olam Peru,54.5,Estados_Unidos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,8720.0,0
L001940,F0004,Perhusa,327.9,Belgica,0.5714285714285714,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,52464.0,1
L003645,F0110,Coop. Norandino,66.4,Alemania,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,10624.0,1
L004035,F0110,Coop. Norandino,165.3,Estados_Unidos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,26448.0,1
L000570,F0063,Olam Peru,80.0,Nacional,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,12800.0,0
L002948,F0049,Olam Peru,44.6,Belgica,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,7136.0,1
L002829,F0051,Cenfrocafe,104.8,Francia,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,16768.0,1
L001309,F0008,Perhusa,137.7,Nacional,0.5714285714285714,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,22032.0,0
L001498,F0007,Perhusa,50.9,Francia,0.5714285714285714,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,8144.0,0
L001781,F0049,Olam Peru,44.0,Paises_Bajos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,7040.0,0
L001265,F0046,Cenfrocafe,130.9,Paises_Bajos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,20944.0,1
L001128,F0044,Coop. Norandino,170.5,Paises_Bajos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,27280.0,1
L003621,F0022,Olam Peru,65.4,Alemania,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,10464.0,0
L001562,F0040,Perhusa,84.6,Estados_Unidos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,13536.0,1
L001001,F0090,Olam Peru,267.7,Estados_Unidos,0.5714285714285714,2,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,42832.0,1
L001465,F0086,Cenfrocafe,141.4,Francia,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,22624.0,0
L002403,F0008,Perhusa,121.0,Belgica,0.5714285714285714,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,19360.0,1
L003236,F0014,Cenfrocafe,147.5,Alemania,0.5714285714285714,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,23600.0,1
L001442,F0096,Cenfrocafe,176.2,Alemania,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,28192.0,1
L000204,F0103,Coop. Norandino,172.0,Belgica,0.5714285714285714,2,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,27520.0,1
L004145,F0066,Perhusa,110.9,Estados_Unidos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,17744.0,0
L003319,F0012,Perhusa,168.4,Francia,0.5714285714285714,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,26944.0,0
L004127,F0110,Coop. Norandino,102.8,Japon,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,16448.0,0
L000649,F0109,Coop. Norandino,296.9,Nacional,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,47504.0,1
L002826,F0108,Cenfrocafe,171.8,Paises_Bajos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,27488.0,0
L001912,F0061,Cenfrocafe,140.9,Alemania,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,22544.0,0
L000983,F0113,Perhusa,162.2,Japon,0.5714285714285714,2,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,25952.0,0
L002033,F0054,Olam Peru,342.5,Francia,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,54800.0,0
L001097,F0111,Perhusa,75.3,Estados_Unidos,0.5714285714285714,2,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,12048.0,0
L003083,F0053,Olam Peru,297.1,Paises_Bajos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,47536.0,1
L000131,F0081,Cenfrocafe,83.9,Paises_Bajos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,13424.0,1
L002147,F0030,Cenfrocafe,147.6,Japon,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,23616.0,0
L000453,F0030,Cenfrocafe,125.5,Nacional,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,20080.0,1
L000727,F0081,Cenfrocafe,210.0,Francia,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,33600.0,1
L003452,F0043,Olam Peru,54.8,Estados_Unidos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,8768.0,1
L001596,F0020,Perhusa,59.4,Nacional,0.5714285714285714,2,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,9504.0,1
L002478,F0070,Perhusa,69.9,Estados_Unidos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,11184.0,1
L001934,F0081,Cenfrocafe,83.6,Paises_Bajos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,13376.0,0
L000587,F0095,Perhusa,92.1,Nacional,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,14736.0,0
L000045,F0093,Cenfrocafe,97.0,Francia,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,15520.0,1
L003091,F0093,Cenfrocafe,266.8,Paises_Bajos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,42688.0,1
L000044,F0093,Cenfrocafe,267.1,Estados_Unidos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,42736.0,0
L002654,F0019,Cenfrocafe,233.7,Alemania,0.5714285714285714,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,37392.0,0
L003184,F0073,Coop. Norandino,81.7,Alemania,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,13072.0,0
L003919,F0088,Olam Peru,218.3,Belgica,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,34928.0,0
L003973,F0103,Coop. Norandino,179.1,Estados_Unidos,0.5714285714285714,2,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,28656.0,0
L003277,F0090,Olam Peru,119.0,Nacional,0.5714285714285714,2,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,19040.0,0
L001176,F0090,Olam Peru,108.0,Belgica,0.5714285714285714,2,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,17280.0,1
L003913,F0093,Cenfrocafe,96.4,Estados_Unidos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,15424.0,0
L001501,F0090,Olam Peru,85.1,Alemania,0.5714285714285714,2,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,13616.0,1
L002708,F0023,Perhusa,152.5,Francia,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,24400.0,1
L002933,F0085,Olam Peru,135.2,Paises_Bajos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,21632.0,0
L000438,F0085,Olam Peru,217.0,Belgica,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,34720.0,0
L003820,F0025,Perhusa,126.4,Paises_Bajos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,20224.0,1
L002644,F0113,Perhusa,216.4,Alemania,0.5714285714285714,2,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,34624.0,0
L004101,F0076,Coop. Norandino,123.7,Alemania,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,19792.0,0
L003802,F0076,Coop. Norandino,103.1,Alemania,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,16496.0,1
L003774,F0007,Perhusa,280.7,Paises_Bajos,0.5714285714285714,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,44912.0,0
L001929,F0106,Cenfrocafe,109.4,Nacional,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,17504.0,0
L001849,F0051,Cenfrocafe,82.0,Paises_Bajos,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,13120.0,0
L002465,F0062,Cenfrocafe,134.3,Alemania,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,21488.0,1
L000291,F0078,Cenfrocafe,55.4,Francia,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,8864.0,0
L001025,F0030,Cenfrocafe,169.7,Belgica,0.5714285714285714,2,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,27152.0,1
L001146,F0073,Coop. Norandino,190.1,Alemania,0.5645295832655255,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,30416.0,1
L003424,F0004,Perhusa,121.6,Alemania,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,19456.0,1
L003953,F0006,Olam Peru,78.5,Estados_Unidos,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,12560.0,0
L000053,F0046,Cenfrocafe,47.6,Nacional,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,7616.0,1
L000414,F0094,Coop. Norandino,120.4,Alemania,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,19264.0,0
L002406,F0098,Cenfrocafe,150.5,Francia,0.5333333333333333,3,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,24080.0,1
L003087,F0086,Cenfrocafe,77.2,Japon,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,12352.0,0
L002936,F0022,Olam Peru,148.1,Belgica,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,23696.0,1
L000117,F0042,Olam Peru,118.1,Estados_Unidos,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,18896.0,1
L002386,F0071,Cenfrocafe,207.9,Alemania,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,33264.0,1
L003527,F0042,Olam Peru,193.1,Paises_Bajos,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,30896.0,1
L001376,F0095,Perhusa,160.1,Alemania,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,25616.0,0
L002397,F0017,Perhusa,90.3,Belgica,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,14448.0,0
L002294,F0103,Coop. Norandino,56.3,Estados_Unidos,0.5333333333333333,3,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,9008.0,0
L000969,F0025,Perhusa,68.9,Belgica,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,11024.0,1
L002225,F0113,Perhusa,139.5,Japon,0.5333333333333333,3,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,22320.0,0
L001152,F0077,Perhusa,160.7,Estados_Unidos,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,25712.0,0
L003869,F0026,Perhusa,288.1,Alemania,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,46096.0,1
L001611,F0085,Olam Peru,139.1,Alemania,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,22256.0,1
L002656,F0085,Olam Peru,218.5,Alemania,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,34960.0,0
L001854,F0060,Cenfrocafe,137.8,Belgica,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,22048.0,0
L003367,F0061,Cenfrocafe,110.3,Nacional,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,17648.0,0
L000463,F0007,Perhusa,92.1,Estados_Unidos,0.5333333333333333,3,1,0,SEGREGAR_CONVENCIONAL,riesgo esperado supera la diferencia de precio del lote,14736.0,0
