finca_id,fecha,velocidad_viento_kmh,direccion_viento_deg,temperatura_c,humedad_relativa_pct,precipitacion_mm
F0001,2025-02-10,16.08,84.2,27.53,77.6,0.0
F0001,2025-02-11,6.7,84.1,27.66,68.4,0.0
F0001,2025-02-12,7.42,29.4,25.87,63.9,0.0
F0001,2025-02-13,13.3,14.8,26.47,77.1,27.63
F0001,2025-02-14,9.15,272.0,26.98,68.2,0.0
F0001,2025-02-15,21.27,285.9,28.02,82.1,0.22
F0001,2025-02-16,5.44,47.9,27.75,74.0,0.15
F0001,2025-02-17,14.7,317.0,26.07,67.0,0.0
F0001,2025-02-18,7.22,55.3,29.68,65.4,0.0
F0001,2025-02-19,13.8,345.0,28.83,74.5,0.0
F0001,2025-02-20,17.18,351.9,29.38,79.1,0.0
F0001,2025-02-21,9.76,331.8,29.52,76.7,0.0
F0001,2025-02-22,6.31,73.0,28.74,73.6,18.93
F0001,2025-02-23,6.2,277.1,31.05,74.4,5.75
F0001,2025-02-24,4.41,247.8,27.53,75.7,0.0
F0001,2025-02-25,22.87,346.5,23.07,70.0,0.0
F0001,2025-02-26,10.42,302.4,24.18,73.9,24.95
F0001,2025-02-27,2.78,109.1,24.89,82.6,0.0
F0001,2025-02-28,5.3,70.2,27.1,71.5,0.0
F0001,2025-03-01,4.4,26.2,25.59,88.8,8.21
F0001,2025-03-02,10.83,29.1,23.77,78.5,0.0
F0001,2025-03-03,9.89,322.4,27.04,71.8,0.0
F0001,2025-03-04,9.48,12.7,24.77,72.1,15.16
F0001,2025-03-05,9.9,282.7,24.35,67.2,0.0
F0001,2025-03-06,3.78,19.5,24.67,71.8,0.0
F0001,2025-03-07,12.67,319.6,25.7,65.3,0.0
F0001,2025-03-08,8.44,285.8,25.63,80.2,20.44
F0001,2025-03-09,12.08,30.5,22.64,76.8,25.96
F0001,2025-03-10,9.94,5.7,26.79,76.3,8.79
F0001,2025-03-11,14.7,52.8,26.91,77.7,2.79
F0001,2025-03-12,15.44,81.5,25.84,80.8,0.19
F0001,2025-03-13,12.33,74.3,23.32,73.1,3.24
F0001,2025-03-14,7.18,57.2,27.03,70.9,0.0
F0001,2025-03-15,10.4,312.4,25.12,81.2,0.0
F0001,2025-03-16,11.01,90.4,24.17,75.8,0.0
F0001,2025-03-17,12.39,23.6,27.08,73.7,0.0
F0001,2025-03-18,12.64,12.1,33.51,91.2,25.75
F0001,2025-03-19,4.4,311.5,26.33,70.4,0.0
F0001,2025-03-20,21.86,83.8,23.78,70.9,0.0
F0001,2025-03-21,24.79,356.7,28.64,80.5,6.34
F0001,2025-03-22,5.57,2.9,27.93,79.1,0.0
F0001,2025-03-23,10.98,299.8,27.5,79.6,0.0
F0001,2025-03-24,9.53,287.6,24.5,72.8,0.0
F0001,2025-03-25,5.74,27.5,22.81,73.3,18.09
F0001,2025-03-26,6.01,11.5,25.73,81.5,7.26
F0001,2025-03-27,4.54,100.9,22.92,74.5,16.04
F0001,2025-03-28,3.44,14.4,23.64,76.1,0.0
F0001,2025-03-29,9.98,312.8,23.91,81.5,0.0
F0001,2025-03-30,6.21,26.9,24.94,79.7,0.0
F0001,2025-03-31,13.16,356.4,24.92,80.5,0.0
F0001,2025-04-01,2.63,212.8,25.67,85.5,0.0
F0001,2025-04-02,6.23,48.3,27.54,70.2,0.52
F0001,2025-04-03,3.96,14.6,24.99,77.3,0.03
F0001,2025-04-04,7.23,37.2,26.02,88.9,23.56
F0001,2025-04-05,11.56,127.5,24.99,79.5,7.56
F0001,2025-04-06,9.78,339.8,26.32,68.7,0.0
F0001,2025-04-07,11.47,125.0,24.52,78.6,2.34
F0001,2025-04-08,2.9,79.0,27.11,69.6,0.0
F0001,2025-04-09,8.33,331.2,26.94,93.2,3.69
F0001,2025-04-10,2.68,35.3,24.62,76.3,7.32
F0001,2025-04-11,8.32,358.4,22.54,85.6,0.0
F0001,2025-04-12,9.05,39.5,28.23,80.1,0.0
F0001,2025-04-13,7.28,96.1,27.71,84.8,0.0
F0001,2025-04-14,5.84,14.5,21.76,88.0,7.92
F0001,2025-04-15,3.85,63.3,23.98,82.8,0.0
F0001,2025-04-16,6.57,327.4,24.79,80.7,0.6
F0001,2025-04-17,4.66,27.2,23.23,83.4,14.05
F0001,2025-04-18,11.14,49.1,26.06,74.7,7.33
F0001,2025-04-19,3.85,136.7,25.17,85.3,25.45
F0001,2025-04-20,3.64,66.9,24.9,84.1,4.12
F0001,2025-04-21,3.5,8.7,26.26,74.0,0.0
F0001,2025-04-22,11.65,280.2,25.63,82.9,0.0
F0001,2025-04-23,2.32,310.3,22.94,83.6,1.63
F0001,2025-04-24,4.13,67.0,24.89,68.5,0.0
F0001,2025-04-25,3.04,3.5,24.89,80.4,0.0
F0001,2025-04-26,9.61,18.5,22.02,89.4,24.23
F0001,2025-04-27,6.26,75.5,25.27,84.5,26.18
F0001,2025-04-28,2.69,26.3,25.18,76.3,0.0
F0001,2025-04-29,4.65,295.2,23.22,87.3,25.62
F0001,2025-04-30,3.58,80.5,24.87,79.8,8.92
F0001,2025-05-01,4.83,15.3,25.77,81.0,0.0
F0001,2025-05-02,11.5,354.7,24.44,77.5,0.0
F0001,2025-05-03,2.46,40.8,24.13,81.9,3.23
F0001,2025-05-04,2.18,25.5,21.51,83.5,0.0
F0001,2025-05-05,3.47,56.9,24.87,91.7,15.93
F0001,2025-05-06,9.45,319.4,24.72,89.3,0.0
F0001,2025-05-07,1.82,311.2,24.71,84.8,8.26
F0001,2025-05-08,10.39,325.1,22.52,89.5,15.49
F0001,2025-05-09,6.61,62.8,22.75,85.3,8.52
F0001,2025-05-10,11.72,86.9,25.97,79.4,3.4
F0001,2025-05-11,3.62,56.3,25.93,87.3,0.0
F0001,2025-05-12,4.4,224.5,23.38,91.2,25.55
F0001,2025-05-13,5.16,359.4,24.22,89.1,44.3
F0001,2025-05-14,8.6,325.5,25.24,79.1,14.53
F0001,2025-05-15,5.65,27.9,21.51,87.2,5.25
F0001,2025-05-16,4.09,17.4,26.54,87.8,10.67
F0001,2025-05-17,5.48,117.8,22.72,83.1,8.57
F0001,2025-05-18,1.92,243.5,23.75,79.7,2.98
F0001,2025-05-19,3.3,328.2,21.83,84.8,18.48
F0001,2025-05-20,7.39,64.3,24.48,83.5,0.0
F0001,2025-05-21,7.85,22.3,22.33,98.4,18.8
F0001,2025-05-22,3.65,69.3,24.45,77.6,5.33
F0001,2025-05-23,3.37,295.0,24.32,86.9,23.22
F0001,2025-05-24,1.62,25.6,21.58,86.3,0.33
F0001,2025-05-25,6.37,51.6,23.53,79.5,6.44
F0001,2025-05-26,7.91,86.2,22.33,79.8,0.0
F0001,2025-05-27,12.34,74.0,22.67,83.2,28.65
F0001,2025-05-28,5.78,247.4,22.13,83.3,9.58
F0001,2025-05-29,4.72,45.1,23.6,80.1,0.0
F0001,2025-05-30,1.31,281.4,22.46,94.0,18.82
F0001,2025-05-31,6.55,330.5,20.07,80.4,8.41
F0001,2025-06-01,5.72,78.4,23.69,95.3,28.32
F0001,2025-06-02,5.43,16.0,24.72,87.7,0.0
F0001,2025-06-03,3.83,26.1,24.37,83.6,0.0
F0001,2025-06-04,3.42,73.8,22.37,75.3,9.02
F0001,2025-06-05,1.74,322.7,24.61,78.7,0.0
F0001,2025-06-06,1.4,0.8,23.97,83.1,6.77
F0001,2025-06-07,2.8,2.8,20.96,84.8,2.48
F0001,2025-06-08,6.14,10.1,22.55,87.6,2.37
F0001,2025-06-09,3.91,46.0,24.1,90.4,1.98
F0001,2025-06-10,5.21,337.3,24.45,78.0,0.33
F0001,2025-06-11,7.31,353.6,22.47,79.3,14.5
F0001,2025-06-12,8.56,37.6,20.44,89.3,0.0
F0001,2025-06-13,1.6,332.4,20.44,82.0,2.29
F0001,2025-06-14,2.89,54.5,23.67,84.8,19.69
F0001,2025-06-15,10.19,37.1,24.61,87.6,7.19
F0001,2025-06-16,7.19,43.7,24.29,84.9,3.74
F0001,2025-06-17,5.4,263.3,22.76,94.4,3.95
F0001,2025-06-18,7.57,11.6,23.38,87.9,7.41
F0001,2025-06-19,3.97,41.4,21.1,88.3,10.89
F0001,2025-06-20,6.76,58.0,24.84,83.8,0.09
F0001,2025-06-21,3.75,38.2,21.08,86.6,0.0
F0001,2025-06-22,2.33,332.3,22.94,74.8,3.8
F0001,2025-06-23,2.78,65.3,22.35,91.4,9.72
F0001,2025-06-24,4.04,309.6,22.44,86.0,0.72
F0001,2025-06-25,2.97,51.4,21.92,89.4,21.94
F0001,2025-06-26,2.38,18.8,23.37,93.6,32.75
F0001,2025-06-27,3.55,284.2,21.29,84.5,0.0
F0001,2025-06-28,4.08,81.5,23.85,94.1,17.75
F0001,2025-06-29,1.29,1.8,21.31,91.5,6.04
F0001,2025-06-30,6.67,343.9,21.55,79.2,13.26
F0001,2025-07-01,0.79,352.2,20.27,83.6,0.0
F0001,2025-07-02,7.44,249.3,21.89,88.0,1.2
F0001,2025-07-03,5.64,312.0,20.6,89.7,5.38
F0001,2025-07-04,3.39,354.7,23.65,91.0,0.0
F0001,2025-07-05,4.07,74.8,21.27,84.4,6.92
F0001,2025-07-06,1.6,333.1,24.06,82.1,0.0
F0001,2025-07-07,3.44,336.1,22.46,86.6,0.0
F0001,2025-07-08,3.83,41.5,21.89,85.1,35.65
F0001,2025-07-09,5.24,53.7,21.82,87.7,0.0
F0001,2025-07-10,4.41,90.2,20.31,79.1,8.14
F0001,2025-07-11,9.82,55.9,22.4,86.0,2.76
F0001,2025-07-12,2.63,345.3,22.21,96.9,13.21
F0001,2025-07-13,9.19,297.6,23.47,80.3,0.0
F0001,2025-07-14,3.86,11.5,22.86,89.0,9.07
F0001,2025-07-15,3.24,136.6,24.5,88.4,0.0
F0001,2025-07-16,1.64,330.5,22.11,83.8,8.06
F0001,2025-07-17,9.52,291.5,19.47,86.9,0.0
F0001,2025-07-18,3.24,312.4,21.34,93.8,13.2
F0001,2025-07-19,5.17,287.0,23.85,89.8,0.0
F0001,2025-07-20,1.07,39.3,20.85,84.7,1.87
F0001,2025-07-21,6.75,315.3,20.97,81.1,2.01
F0001,2025-07-22,2.13,29.4,22.24,90.9,2.61
F0001,2025-07-23,7.09,339.9,20.26,82.6,13.79
F0001,2025-07-24,3.6,303.0,25.3,85.1,3.5
F0001,2025-07-25,2.99,69.9,21.52,88.8,13.63
F0001,2025-07-26,5.72,79.2,23.22,88.6,0.9
F0001,2025-07-27,3.24,324.9,23.72,86.7,11.16
F0001,2025-07-28,2.94,59.8,23.52,85.2,12.18
F0001,2025-07-29,6.62,312.8,25.01,85.1,0.0
F0001,2025-07-30,6.28,0.2,22.86,87.9,4.83
F0001,2025-07-31,8.58,293.4,22.38,92.9,0.83
F0001,2025-08-01,3.79,37.2,21.58,81.4,4.18
F0001,2025-08-02,9.54,21.9,21.62,93.0,8.9
F0001,2025-08-03,7.56,276.5,20.74,85.5,6.09
F0001,2025-08-04,2.29,59.4,23.53,89.2,9.03
F0001,2025-08-05,8.83,43.0,23.86,98.3,7.69
F0001,2025-08-06,9.59,322.3,22.67,82.5,0.0
F0001,2025-08-07,4.43,78.3,20.96,86.1,0.55
F0001,2025-08-08,7.12,13.7,23.29,81.8,0.0
F0001,2025-08-09,6.0,317.8,19.61,98.3,12.04
F0001,2025-08-10,5.13,321.2,21.69,84.8,0.0
F0001,2025-08-11,2.05,341.2,22.97,90.5,0.84
F0001,2025-08-12,1.56,67.6,24.19,95.3,0.0
F0001,2025-08-13,6.16,304.0,21.71,84.9,2.79
F0001,2025-08-14,4.84,53.3,23.92,87.7,20.59
F0001,2025-08-15,8.58,317.4,25.29,99.7,21.57
F0001,2025-08-16,4.57,344.6,26.24,85.0,0.0
F0001,2025-08-17,10.31,313.0,23.19,88.0,10.0
F0001,2025-08-18,3.68,343.4,21.73,90.6,0.0
F0001,2025-08-19,7.22,14.3,22.18,88.4,10.24
F0001,2025-08-20,7.11,25.9,25.65,90.0,7.67
F0001,2025-08-21,2.37,356.5,24.95,89.7,12.97
F0001,2025-08-22,7.4,349.5,25.1,80.2,0.0
F0001,2025-08-23,3.67,282.5,23.41,92.1,0.0
F0001,2025-08-24,4.62,355.5,22.37,83.8,0.0
F0001,2025-08-25,5.04,16.2,22.42,81.3,5.78
F0001,2025-08-26,4.24,334.3,22.73,91.1,26.07
F0001,2025-08-27,6.89,40.1,22.63,79.6,2.97
F0001,2025-08-28,4.02,55.8,21.72,97.6,25.1
F0001,2025-08-29,4.19,324.6,22.78,82.6,0.0
F0001,2025-08-30,4.81,254.9,21.5,85.3,2.8
F0001,2025-08-31,3.47,342.1,22.78,79.8,3.43
F0001,2025-09-01,2.59,287.8,22.22,87.1,0.0
F0001,2025-09-02,3.48,77.1,23.88,81.1,3.14
F0001,2025-09-03,2.27,358.4,21.96,87.2,3.59
F0001,2025-09-04,4.82,332.7,23.22,81.3,0.0
F0001,2025-09-05,1.67,309.6,23.31,91.7,28.86
F0001,2025-09-06,3.1,11.6,22.15,71.3,8.25
F0001,2025-09-07,4.18,342.7,23.67,86.9,0.0
F0001,2025-09-08,12.59,81.5,22.4,82.5,0.0
F0001,2025-09-09,6.83,12.0,27.91,88.2,0.0
F0001,2025-09-10,4.47,5.7,26.54,81.9,2.51
F0001,2025-09-11,8.36,80.7,24.38,87.8,6.72
F0001,2025-09-12,10.51,333.9,25.36,89.9,15.32
F0001,2025-09-13,3.92,272.1,24.07,92.5,20.47
F0001,2025-09-14,6.35,353.5,25.79,83.2,7.04
F0001,2025-09-15,4.07,332.7,23.53,74.0,1.63
F0001,2025-09-16,12.98,336.9,23.03,75.6,1.82
F0001,2025-09-17,4.53,310.7,24.03,83.5,4.1
F0001,2025-09-18,7.58,16.2,24.46,87.3,0.0
F0001,2025-09-19,4.82,347.1,24.22,83.5,8.68
F0001,2025-09-20,9.3,21.2,23.65,85.9,5.65
F0001,2025-09-21,6.7,333.7,23.27,75.4,0.0
F0001,2025-09-22,3.47,79.1,23.83,100.0,33.41
F0001,2025-09-23,2.72,25.6,23.9,84.9,10.84
F0001,2025-09-24,3.11,306.2,24.65,88.4,0.0
F0001,2025-09-25,3.73,33.3,24.02,86.3,1.86
F0001,2025-09-26,4.94,326.9,25.22,83.1,8.28
F0001,2025-09-27,6.82,6.7,24.3,83.1,6.1
F0001,2025-09-28,9.59,355.3,22.37,87.4,0.45
F0001,2025-09-29,5.7,265.7,24.59,72.1,0.0
F0001,2025-09-30,11.55,66.0,25.23,91.2,0.04
F0001,2025-10-01,4.71,48.3,22.49,86.8,16.72
F0001,2025-10-02,4.6,298.4,24.83,74.0,0.0
F0001,2025-10-03,5.11,48.8,23.05,73.2,1.02
F0001,2025-10-04,12.35,66.4,23.67,81.7,19.68
F0001,2025-10-05,5.27,101.2,24.36,79.5,3.37
F0001,2025-10-06,4.1,95.4,21.49,75.4,2.33
F0001,2025-10-07,6.7,242.5,24.64,80.1,6.52
F0001,2025-10-08,5.09,299.4,25.01,79.2,4.67
F0001,2025-10-09,8.63,60.1,22.85,77.8,3.66
F0001,2025-10-10,6.64,17.7,25.25,74.2,0.0
F0001,2025-10-11,12.4,292.7,25.13,86.2,14.05
F0001,2025-10-12,7.24,350.9,22.42,84.1,15.72
F0001,2025-10-13,7.77,334.2,26.79,86.7,0.1
F0001,2025-10-14,14.4,293.9,22.83,74.8,0.0
F0001,2025-10-15,5.93,56.5,21.73,78.5,0.0
F0001,2025-10-16,14.42,26.5,23.95,75.8,0.0
F0001,2025-10-17,12.83,7.8,26.05,77.8,0.0
F0001,2025-10-18,6.7,2.3,25.02,76.1,2.25
F0001,2025-10-19,4.34,326.5,24.77,78.0,0.0
F0001,2025-10-20,10.89,66.6,25.06,81.4,0.0
F0001,2025-10-21,4.39,359.0,24.94,78.3,0.0
F0001,2025-10-22,4.9,283.4,22.72,83.8,21.88
F0001,2025-10-23,6.75,1.9,26.7,78.7,7.98
F0001,2025-10-24,4.14,78.2,27.22,73.5,0.57
F0001,2025-10-25,7.43,22.0,26.06,77.5,0.0
F0001,2025-10-26,10.27,322.5,27.01,82.0,9.88
F0001,2025-10-27,1.46,281.1,23.79,66.2,0.0
F0001,2025-10-28,8.92,301.0,26.28,83.4,9.32
F0001,2025-10-29,7.47,307.9,25.77,73.4,4.47
F0001,2025-10-30,9.44,44.7,24.81,100.0,48.85
F0001,2025-10-31,11.06,320.8,26.47,64.9,10.56
F0001,2025-11-01,9.2,108.6,25.33,87.1,26.79
F0001,2025-11-02,6.79,18.1,27.11,73.9,1.57
F0001,2025-11-03,14.17,55.5,27.58,85.0,22.77
F0001,2025-11-04,8.75,318.7,24.47,77.0,0.0
F0001,2025-11-05,3.45,348.7,27.76,69.1,0.0
F0001,2025-11-06,2.41,21.2,27.55,80.7,8.51
F0001,2025-11-07,11.0,357.8,24.29,70.4,2.4
F0001,2025-11-08,5.44,342.3,23.97,80.3,0.0
F0001,2025-11-09,6.8,318.4,24.83,81.5,0.78
F0001,2025-11-10,14.12,44.6,24.3,81.2,0.0
F0001,2025-11-11,4.67,302.0,26.09,79.7,0.0
F0001,2025-11-12,11.33,107.7,26.92,81.6,28.88
F0001,2025-11-13,1.1,21.8,25.92,72.9,0.0
F0001,2025-11-14,13.23,37.2,24.83,68.6,0.0
F0001,2025-11-15,15.09,44.1,25.93,79.0,5.64
F0001,2025-11-16,8.67,358.6,25.36,71.4,0.0
F0001,2025-11-17,2.04,347.3,27.1,73.7,5.79
F0001,2025-11-18,18.06,44.0,26.04,82.1,29.04
F0001,2025-11-19,7.34,3.5,25.34,76.1,8.76
F0001,2025-11-20,8.37,350.6,24.49,64.0,0.0
F0001,2025-11-21,8.8,309.4,27.04,70.5,0.0
F0001,2025-11-22,5.61,350.2,23.7,67.5,4.12
F0001,2025-11-23,9.65,307.8,27.22,74.4,0.0
F0001,2025-11-24,5.87,331.7,26.75,63.0,0.0
F0001,2025-11-25,10.32,78.3,24.77,78.1,0.0
F0001,2025-11-26,3.45,51.8,28.18,76.4,0.0
F0001,2025-11-27,10.63,158.6,23.22,69.2,0.0
F0001,2025-11-28,10.92,38.1,26.88,76.4,11.26
F0001,2025-11-29,4.5,12.6,24.93,74.7,1.04
F0001,2025-11-30,2.61,340.8,26.37,76.8,4.85
F0001,2025-12-01,5.14,325.4,26.09,65.5,0.0
F0001,2025-12-02,4.73,108.7,26.91,63.8,0.0
F0001,2025-12-03,2.61,22.2,26.59,73.8,5.69
F0001,2025-12-04,5.14,312.2,26.47,77.0,0.0
F0001,2025-12-05,4.95,45.0,25.74,83.7,31.81
F0001,2025-12-06,3.87,305.8,27.68,70.4,0.0
F0001,2025-12-07,7.21,35.6,27.47,75.0,0.0
F0001,2025-12-08,17.9,349.1,24.54,80.8,2.66
F0001,2025-12-09,6.81,333.4,26.21,73.5,0.0
F0001,2025-12-10,9.94,295.4,24.26,76.3,0.0
F0001,2025-12-11,8.87,3.2,28.46,61.9,0.0
F0001,2025-12-12,14.37,274.1,27.24,78.1,0.0
F0001,2025-12-13,14.88,321.1,28.5,81.2,0.0
F0001,2025-12-14,10.4,20.8,27.97,72.5,0.0
F0001,2025-12-15,4.27,51.7,26.37,75.8,23.25
F0001,2025-12-16,7.47,340.9,27.52,75.3,0.0
F0001,2025-12-17,5.61,3.0,28.59,75.7,0.0
F0001,2025-12-18,5.97,64.5,24.64,67.2,0.0
F0001,2025-12-19,6.37,30.7,25.36,67.7,0.0
F0001,2025-12-20,5.31,103.2,27.43,79.2,0.0
F0001,2025-12-21,6.15,228.7,29.88,75.9,0.0
F0001,2025-12-22,5.63,53.9,26.07,79.8,0.0
F0001,2025-12-23,7.65,280.4,29.36,76.9,18.85
F0001,2025-12-24,2.48,355.7,27.47,68.9,0.0
F0001,2025-12-25,9.34,42.2,29.58,75.4,10.22
F0001,2025-12-26,9.14,54.7,29.76,66.7,0.0
F0001,2025-12-27,10.02,113.9,28.94,72.6,15.97
F0001,2025-12-28,14.85,347.4,30.44,72.4,3.94
F0001,2025-12-29,3.86,20.3,26.88,65.0,1.15
F0001,2025-12-30,4.91,350.4,27.85,72.0,0.0
F0001,2025-12-31,7.56,356.8,29.8,70.1,7.89
F0001,2026-01-01,12.58,75.8,27.35,71.8,15.84
F0001,2026-01-02,14.17,337.4,27.29,66.7,0.0
F0001,2026-01-03,6.66,26.8,23.63,66.1,0.0
F0001,2026-01-04,5.91,7.5,27.14,67.4,0.0
F0001,2026-01-05,10.09,19.7,26.31,78.7,0.0
F0001,2026-01-06,9.35,59.3,25.56,67.4,0.0
F0001,2026-01-07,11.24,351.5,26.24,69.5,0.0
F0001,2026-01-08,10.13,273.7,26.86,78.6,0.0
F0001,2026-01-09,13.98,294.9,25.98,72.0,0.0
F0001,2026-01-10,4.22,339.2,28.24,63.4,0.0
F0001,2026-01-11,3.52,327.6,26.29,79.2,0.0
F0001,2026-01-12,9.52,304.8,28.16,70.8,0.0
F0001,2026-01-13,6.32,12.4,26.47,72.7,0.0
F0001,2026-01-14,5.52,36.1,27.69,72.6,0.0
F0001,2026-01-15,2.22,304.7,25.91,78.5,0.0
F0001,2026-01-16,3.33,274.8,23.51,63.1,0.0
F0001,2026-01-17,11.96,7.9,26.83,74.1,0.0
F0001,2026-01-18,9.97,55.2,24.58,71.4,0.0
F0001,2026-01-19,6.61,342.7,29.3,73.6,0.0
F0001,2026-01-20,8.51,20.8,26.47,69.9,0.0
F0001,2026-01-21,17.53,33.2,29.87,69.6,0.0
F0001,2026-01-22,8.72,325.7,26.15,73.4,0.0
F0001,2026-01-23,16.29,349.5,28.46,72.4,0.0
F0001,2026-01-24,6.38,96.3,22.55,82.7,25.47
F0001,2026-01-25,8.97,42.3,27.3,74.7,0.0
F0001,2026-01-26,9.3,96.9,28.42,74.3,11.73
F0001,2026-01-27,10.6,293.4,27.87,74.9,0.0
F0001,2026-01-28,12.12,74.0,25.36,59.9,0.0
F0001,2026-01-29,8.01,112.6,27.65,72.6,0.0
F0001,2026-01-30,12.97,357.7,25.45,73.5,0.0
F0001,2026-01-31,10.29,65.2,28.24,76.0,0.0
F0001,2026-02-01,7.88,23.5,27.87,64.7,0.22
F0001,2026-02-02,8.1,14.6,26.57,65.4,0.0
F0001,2026-02-03,14.99,314.3,27.58,63.7,0.0
F0001,2026-02-04,7.35,45.1,28.74,64.7,0.0
F0001,2026-02-05,4.57,84.9,25.3,72.2,0.0
F0001,2026-02-06,7.78,12.3,24.99,70.3,0.0
F0001,2026-02-07,11.33,13.9,27.37,75.8,0.0
F0001,2026-02-08,10.74,344.1,26.6,75.1,0.0
F0001,2026-02-09,13.95,54.1,24.64,82.8,0.0
F0001,2026-02-10,11.6,50.7,27.82,73.5,0.0
F0001,2026-02-11,14.77,78.1,26.04,67.6,3.68
F0001,2026-02-12,6.03,76.2,24.12,77.1,15.23
F0001,2026-02-13,8.62,120.3,27.72,76.1,0.0
F0001,2026-02-14,7.86,13.8,27.94,73.3,0.0
F0001,2026-02-15,8.35,123.2,28.53,59.4,0.0
F0001,2026-02-16,10.49,304.7,27.54,69.3,0.0
F0001,2026-02-17,9.79,351.5,27.97,69.3,0.0
F0001,2026-02-18,16.57,29.4,27.28,70.9,3.03
F0001,2026-02-19,3.15,310.2,27.36,70.0,0.0
F0001,2026-02-20,5.67,57.4,24.48,75.5,0.0
F0001,2026-02-21,8.63,47.6,25.96,72.2,0.0
F0001,2026-02-22,5.38,325.3,23.02,77.6,0.0
F0001,2026-02-23,12.08,360.0,25.62,73.5,0.0
F0001,2026-02-24,4.87,15.7,26.36,70.3,0.0
F0001,2026-02-25,16.7,306.5,29.1,73.6,11.49
F0001,2026-02-26,7.69,314.0,26.02,66.2,2.38
F0001,2026-02-27,8.05,42.5,25.1,75.6,2.72
F0001,2026-02-28,6.41,306.4,28.05,70.5,0.0
F0001,2026-03-01,7.15,273.9,25.61,72.3,0.0
F0001,2026-03-02,3.69,33.4,25.95,74.1,0.0
F0001,2026-03-03,4.07,87.8,25.36,71.9,4.11
F0001,2026-03-04,6.44,19.1,24.36,67.2,0.0
F0001,2026-03-05,13.3,337.7,26.16,69.2,1.68
F0001,2026-03-06,14.27,318.1,24.0,75.1,0.0
F0001,2026-03-07,4.18,41.0,25.26,81.0,13.16
F0001,2026-03-08,8.56,358.7,27.49,73.8,2.1
F0001,2026-03-09,1.21,311.4,25.6,73.3,3.61
F0001,2026-03-10,5.73,56.1,26.9,80.0,0.0
F0001,2026-03-11,5.25,40.7,29.6,68.5,0.0
F0001,2026-03-12,23.44,30.2,28.94,71.9,0.0
F0001,2026-03-13,8.24,121.1,27.46,59.6,0.0
F0001,2026-03-14,8.72,353.9,23.5,64.5,0.0
F0001,2026-03-15,7.84,335.1,25.11,72.3,0.0
F0001,2026-03-16,8.95,5.6,26.72,71.6,0.0
F0001,2026-03-17,2.33,111.4,26.01,71.8,0.0
F0001,2026-03-18,4.51,49.2,27.17,78.0,1.3
F0001,2026-03-19,7.3,323.6,27.3,69.9,2.9
F0001,2026-03-20,6.92,347.1,25.51,67.1,0.0
F0001,2026-03-21,5.25,24.1,26.89,76.7,2.08
F0001,2026-03-22,7.77,57.4,23.55,68.8,0.0
F0001,2026-03-23,5.12,334.3,28.23,76.1,0.0
