muestra_id,lote_id,finca_id,agroquimico,kit,tipo_lectura,ppm_detectado,lod_ppm,umbral_ppm,is_detectado,excede_umbral,fecha_muestreo,laboratorio,operador,ppm_simulado_interno
M0000012,L000012,F0098,Glifosato,ELISA_GLY_96,Cuantitativo,0.00293,0.01,0.1,False,False,2025-09-18,LAB Movil Campana,TEC06,0.00293
M0000013,L000013,F0083,Glifosato,ELISA_GLY_96,Cuantitativo,0.02254,0.01,0.1,True,False,2026-05-20,LAB Movil Campana,TEC03,0.02254
M0000014,L000014,F0002,Glifosato,ELISA_GLY_96,Cuantitativo,0.00096,0.01,0.1,False,False,2025-08-14,LAB Movil Campana,TEC09,0.00096
M0000015,L000015,F0108,Glifosato,ELISA_GLY_96,Cuantitativo,0.00169,0.01,0.1,False,False,2026-07-19,LAB Acopio Sur,TEC12,0.00169
M0000016,L000016,F0096,Glifosato,ELISA_GLY_96,Cuantitativo,0.1122,0.01,0.1,True,True,2025-07-19,LAB Acopio Norte,TEC09,0.1122
M0000017,L000017,F0085,Glifosato,ELISA_GLY_96,Cuantitativo,0.00164,0.01,0.1,False,False,2026-08-24,LAB Acopio Sur,TEC08,0.00164
M0000018,L000018,F0120,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-04-22,LAB Movil Campana,TEC11,0.0
M0000019,L000019,F0090,Glifosato,ELISA_GLY_96,Cuantitativo,0.15292,0.01,0.1,True,True,2026-05-28,LAB Acopio Sur,TEC12,0.15292
M0000020,L000020,F0029,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-05-25,LAB Acopio Norte,TEC07,0.0
M0000021,L000021,F0051,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-05-03,LAB Acopio Sur,TEC09,0.0
M0000022,L000022,F0110,Glifosato,ELISA_GLY_96,Cuantitativo,0.00438,0.01,0.1,False,False,2026-04-07,LAB Acopio Sur,TEC01,0.00438
M0000023,L000023,F0030,Glifosato,ELISA_GLY_96,Cuantitativo,0.0022,0.01,0.1,False,False,2026-05-08,LAB Acopio Sur,TEC09,0.0022
M0000024,L000024,F0066,Glifosato,ELISA_GLY_96,Cuantitativo,0.011,0.01,0.1,True,False,2025-04-03,LAB Acopio Norte,TEC12,0.011
M0000025,L000025,F0093,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-05-21,LAB Acopio Norte,TEC01,0.0
M0000026,L000026,F0091,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-05-02,LAB Acopio Sur,TEC09,0.0
M0000027,L000027,F0050,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-09-21,LAB Acopio Norte,TEC07,0.0
M0000028,L000028,F0043,Glifosato,ELISA_GLY_96,Cuantitativo,0.07663,0.01,0.1,True,False,2026-04-02,LAB Acopio Sur,TEC05,0.07663
M0000029,L000029,F0059,Glifosato,ELISA_GLY_96,Cuantitativo,0.01222,0.01,0.1,True,False,2026-04-20,LAB Acopio Norte,TEC08,0.01222
M0000030,L000030,F0082,Glifosato,ELISA_GLY_96,Cuantitativo,0.00542,0.01,0.1,False,False,2025-09-21,LAB Acopio Norte,TEC06,0.00542
M0000031,L000031,F0042,Glifosato,ELISA_GLY_96,Cuantitativo,0.02369,0.01,0.1,True,False,2025-08-24,LAB Acopio Sur,TEC03,0.02369
M0000032,L000032,F0075,Glifosato,ELISA_GLY_96,Cuantitativo,0.00264,0.01,0.1,False,False,2025-04-14,LAB Movil Campana,TEC05,0.00264
M0000033,L000033,F0031,Glifosato,ELISA_GLY_96,Cuantitativo,0.03279,0.01,0.1,True,False,2025-08-01,LAB Acopio Sur,TEC08,0.03279
M0000034,L000034,F0024,Glifosato,ELISA_GLY_96,Cuantitativo,0.00073,0.01,0.1,False,False,2025-05-12,LAB Acopio Norte,TEC01,0.00073
M0000035,L000035,F0101,Glifosato,ELISA_GLY_96,Cuantitativo,0.00124,0.01,0.1,False,False,2026-08-15,LAB Acopio Sur,TEC02,0.00124
M0000036,L000036,F0008,Glifosato,ELISA_GLY_96,Cuantitativo,0.00421,0.01,0.1,False,False,2025-05-07,LAB Acopio Sur,TEC06,0.00421
M0000037,L000037,F0111,Glifosato,ELISA_GLY_96,Cuantitativo,0.01921,0.01,0.1,True,False,2025-07-13,LAB Acopio Sur,TEC02,0.01921
M0000038,L000038,F0089,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-05-09,LAB Acopio Norte,TEC05,0.0
M0000039,L000039,F0064,Glifosato,ELISA_GLY_96,Cuantitativo,0.00542,0.01,0.1,False,False,2026-04-27,LAB Movil Campana,TEC11,0.00542
M0000040,L000040,F0102,Glifosato,ELISA_GLY_96,Cuantitativo,0.00178,0.01,0.1,False,False,2026-05-31,LAB Acopio Norte,TEC04,0.00178
M0000041,L000041,F0082,Glifosato,ELISA_GLY_96,Cuantitativo,0.00471,0.01,0.1,False,False,2026-07-03,LAB Movil Campana,TEC06,0.00471
M0000042,L000042,F0063,Glifosato,ELISA_GLY_96,Cuantitativo,0.00121,0.01,0.1,False,False,2025-04-20,LAB Movil Campana,TEC03,0.00121
M0000043,L000043,F0066,Glifosato,ELISA_GLY_96,Cuantitativo,0.0614,0.01,0.1,True,False,2025-02-28,LAB Acopio Sur,TEC01,0.0614
M0000044,L000044,F0093,Glifosato,ELISA_GLY_96,Cuantitativo,0.03335,0.01,0.1,True,False,2026-07-30,LAB Movil Campana,TEC04,0.03335
M0000045,L000045,F0093,Glifosato,ELISA_GLY_96,Cuantitativo,0.04638,0.01,0.1,True,False,2026-08-05,LAB Acopio Norte,TEC12,0.04638
M0000046,L000046,F0022,Glifosato,ELISA_GLY_96,Cuantitativo,0.06852,0.01,0.1,True,False,2026-06-18,LAB Acopio Sur,TEC12,0.06852
M0000047,L000047,F0040,Glifosato,ELISA_GLY_96,Cuantitativo,0.02886,0.01,0.1,True,False,2026-08-19,LAB Movil Campana,TEC07,0.02886
M0000048,L000048,F0112,Glifosato,ELISA_GLY_96,Cuantitativo,0.03418,0.01,0.1,True,False,2026-04-13,LAB Acopio Sur,TEC12,0.03418
M0000049,L000049,F0080,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-02-13,LAB Acopio Sur,TEC01,0.0
M0000050,L000050,F0004,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-09-05,LAB Acopio Norte,TEC07,0.0
M0000051,L000051,F0053,Glifosato,ELISA_GLY_96,Cuantitativo,0.03085,0.01,0.1,True,False,2026-08-07,LAB Acopio Norte,TEC10,0.03085
M0000052,L000052,F0019,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-11-03,LAB Acopio Norte,TEC02,0.0
M0000053,L000053,F0046,Glifosato,ELISA_GLY_96,Cuantitativo,0.01991,0.01,0.1,True,False,2026-07-01,LAB Movil Campana,TEC01,0.01991
M0000054,L000054,F0027,Glifosato,ELISA_GLY_96,Cuantitativo,0.09775,0.01,0.1,True,False,2025-08-29,LAB Acopio Sur,TEC10,0.09775
M0000055,L000055,F0111,Glifosato,ELISA_GLY_96,Cuantitativo,0.03436,0.01,0.1,True,False,2026-04-03,LAB Acopio Norte,TEC02,0.03436
M0000056,L000056,F0013,Glifosato,ELISA_GLY_96,Cuantitativo,0.00598,0.01,0.1,False,False,2025-07-11,LAB Acopio Norte,TEC01,0.00598
M0000057,L000057,F0009,Glifosato,ELISA_GLY_96,Cuantitativo,0.1301,0.01,0.1,True,True,2025-06-24,LAB Movil Campana,TEC12,0.1301
M0000058,L000058,F0098,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-07-07,LAB Acopio Norte,TEC10,0.0
M0000059,L000059,F0072,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-07-30,LAB Acopio Sur,TEC05,0.0
M0000060,L000060,F0102,Glifosato,ELISA_GLY_96,Cuantitativo,0.00196,0.01,0.1,False,False,2025-04-13,LAB Movil Campana,TEC03,0.00196
M0000061,L000061,F0076,Glifosato,ELISA_GLY_96,Cuantitativo,0.00833,0.01,0.1,False,False,2025-01-27,LAB Acopio Sur,TEC01,0.00833
M0000062,L000062,F0028,Glifosato,ELISA_GLY_96,Cuantitativo,0.00597,0.01,0.1,False,False,2025-04-09,LAB Movil Campana,TEC07,0.00597
M0000063,L000063,F0003,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-07-04,LAB Acopio Sur,TEC03,0.0
M0000064,L000064,F0087,Glifosato,ELISA_GLY_96,Cuantitativo,0.09506,0.01,0.1,True,False,2026-05-24,LAB Acopio Sur,TEC09,0.09506
M0000065,L000065,F0020,Glifosato,ELISA_GLY_96,Cuantitativo,0.00935,0.01,0.1,False,False,2025-06-19,LAB Acopio Sur,TEC06,0.00935
M0000066,L000066,F0084,Glifosato,ELISA_GLY_96,Cuantitativo,0.00215,0.01,0.1,False,False,2025-12-12,LAB Acopio Norte,TEC02,0.00215
M0000067,L000067,F0017,Glifosato,ELISA_GLY_96,Cuantitativo,0.00616,0.01,0.1,False,False,2026-07-04,LAB Movil Campana,TEC12,0.00616
M0000068,L000068,F0003,Glifosato,ELISA_GLY_96,Cuantitativo,0.00039,0.01,0.1,False,False,2025-09-08,LAB Acopio Norte,TEC02,0.00039
M0000069,L000069,F0007,Glifosato,ELISA_GLY_96,Cuantitativo,0.00521,0.01,0.1,False,False,2025-07-26,LAB Movil Campana,TEC08,0.00521
M0000070,L000070,F0006,Glifosato,ELISA_GLY_96,Cuantitativo,0.00604,0.01,0.1,False,False,2025-01-19,LAB Acopio Norte,TEC12,0.00604
M0000071,L000071,F0050,Glifosato,ELISA_GLY_96,Cuantitativo,0.00841,0.01,0.1,False,False,2025-06-28,LAB Acopio Sur,TEC01,0.00841
M0000072,L000072,F0051,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-08-24,LAB Acopio Sur,TEC12,0.0
M0000073,L000073,F0073,Glifosato,ELISA_GLY_96,Cuantitativo,0.00054,0.01,0.1,False,False,2025-07-16,LAB Movil Campana,TEC01,0.00054
M0000074,L000074,F0034,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-04-10,LAB Acopio Sur,TEC10,0.0
M0000075,L000075,F0118,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-08-01,LAB Movil Campana,TEC07,0.0
M0000076,L000076,F0096,Glifosato,ELISA_GLY_96,Cuantitativo,0.00868,0.01,0.1,False,False,2026-04-13,LAB Movil Campana,TEC01,0.00868
M0000077,L000077,F0050,Glifosato,ELISA_GLY_96,Cuantitativo,0.00059,0.01,0.1,False,False,2026-07-17,LAB Movil Campana,TEC01,0.00059
M0000078,L000078,F0004,Glifosato,ELISA_GLY_96,Cuantitativo,0.01584,0.01,0.1,True,False,2025-04-07,LAB Acopio Sur,TEC06,0.01584
M0000079,L000079,F0056,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-04-17,LAB Acopio Norte,TEC09,0.0
M0000080,L000080,F0039,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-03-11,LAB Acopio Norte,TEC06,0.0
M0000081,L000081,F0069,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-06-07,LAB Acopio Norte,TEC08,0.0
M0000082,L000082,F0096,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-04-03,LAB Acopio Norte,TEC06,0.0
M0000083,L000083,F0001,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-07-26,LAB Acopio Norte,TEC02,0.0
M0000084,L000084,F0075,Glifosato,ELISA_GLY_96,Cuantitativo,0.02468,0.01,0.1,True,False,2025-05-31,LAB Acopio Norte,TEC11,0.02468
M0000085,L000085,F0017,Glifosato,ELISA_GLY_96,Cuantitativo,0.02001,0.01,0.1,True,False,2026-05-28,LAB Acopio Norte,TEC12,0.02001
M0000086,L000086,F0042,Glifosato,ELISA_GLY_96,Cuantitativo,0.04021,0.01,0.1,True,False,2025-03-04,LAB Acopio Norte,TEC10,0.04021
M0000087,L000087,F0068,Glifosato,ELISA_GLY_96,Cuantitativo,0.01083,0.01,0.1,True,False,2025-08-13,LAB Movil Campana,TEC12,0.01083
M0000088,L000088,F0024,Glifosato,ELISA_GLY_96,Cuantitativo,0.06306,0.01,0.1,True,False,2026-08-25,LAB Movil Campana,TEC10,0.06306
M0000089,L000089,F0002,Glifosato,ELISA_GLY_96,Cuantitativo,0.00172,0.01,0.1,False,False,2026-05-31,LAB Movil Campana,TEC11,0.00172
M0000090,L000090,F0120,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-08-15,LAB Acopio Norte,TEC09,0.0
M0000091,L000091,F0080,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-05-19,LAB Acopio Norte,TEC02,0.0
M0000092,L000092,F0004,Glifosato,ELISA_GLY_96,Cuantitativo,0.00377,0.01,0.1,False,False,2026-08-12,LAB Acopio Sur,TEC05,0.00377
M0000093,L000093,F0080,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-07-28,LAB Acopio Sur,TEC03,0.0
M0000094,L000094,F0017,Glifosato,ELISA_GLY_96,Cuantitativo,0.04104,0.01,0.1,True,False,2025-06-29,LAB Acopio Sur,TEC08,0.04104
M0000095,L000095,F0053,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-06-18,LAB Movil Campana,TEC05,0.0
M0000096,L000096,F0047,Glifosato,ELISA_GLY_96,Cuantitativo,0.20298,0.01,0.1,True,True,2026-04-21,LAB Acopio Norte,TEC03,0.20298
M0000097,L000097,F0033,Glifosato,ELISA_GLY_96,Cuantitativo,0.39795,0.01,0.1,True,True,2026-08-20,LAB Movil Campana,TEC11,0.39795
M0000098,L000098,F0094,Glifosato,ELISA_GLY_96,Cuantitativo,0.04324,0.01,0.1,True,False,2025-05-26,LAB Movil Campana,TEC01,0.04324
M0000099,L000099,F0072,Glifosato,ELISA_GLY_96,Cuantitativo,0.00234,0.01,0.1,False,False,2025-06-06,LAB Acopio Sur,TEC07,0.00234
M0000100,L000100,F0038,Glifosato,ELISA_GLY_96,Cuantitativo,0.08691,0.01,0.1,True,False,2025-07-25,LAB Acopio Norte,TEC10,0.08691
M0000101,L000101,F0007,Glifosato,ELISA_GLY_96,Cuantitativo,0.00758,0.01,0.1,False,False,2025-04-30,LAB Acopio Sur,TEC01,0.00758
M0000102,L000102,F0034,Glifosato,ELISA_GLY_96,Cuantitativo,0.15531,0.01,0.1,True,True,2026-03-17,LAB Acopio Sur,TEC03,0.15531
M0000103,L000103,F0019,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-05-17,LAB Acopio Norte,TEC11,0.0
M0000104,L000104,F0019,Glifosato,ELISA_GLY_96,Cuantitativo,0.00365,0.01,0.1,False,False,2026-04-19,LAB Acopio Sur,TEC02,0.00365
M0000105,L000105,F0049,Glifosato,ELISA_GLY_96,Cuantitativo,0.00265,0.01,0.1,False,False,2025-01-29,LAB Acopio Sur,TEC08,0.00265
M0000106,L000106,F0062,Glifosato,ELISA_GLY_96,Cuantitativo,0.0013,0.01,0.1,False,False,2026-07-13,LAB Acopio Norte,TEC08,0.0013
M0000107,L000107,F0014,Glifosato,ELISA_GLY_96,Cuantitativo,0.00328,0.01,0.1,False,False,2025-05-20,LAB Acopio Norte,TEC04,0.00328
M0000108,L000108,F0074,Glifosato,ELISA_GLY_96,Cuantitativo,0.05577,0.01,0.1,True,False,2025-04-13,LAB Acopio Sur,TEC03,0.05577
M0000109,L000109,F0102,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-06-12,LAB Acopio Norte,TEC02,0.0
M0000110,L000110,F0109,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-08-05,LAB Acopio Norte,TEC08,0.0
M0000111,L000111,F0001,Glifosato,ELISA_GLY_96,Cuantitativo,0.03603,0.01,0.1,True,False,2025-08-31,LAB Movil Campana,TEC12,0.03603
M0000112,L000112,F0080,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-07-03,LAB Movil Campana,TEC10,0.0
M0000113,L000113,F0051,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-07-03,LAB Acopio Sur,TEC10,0.0
M0000114,L000114,F0031,Glifosato,ELISA_GLY_96,Cuantitativo,0.11159,0.01,0.1,True,True,2025-06-25,LAB Movil Campana,TEC06,0.11159
M0000115,L000115,F0070,Glifosato,ELISA_GLY_96,Cuantitativo,0.0265,0.01,0.1,True,False,2025-05-21,LAB Acopio Norte,TEC09,0.0265
M0000116,L000116,F0055,Glifosato,ELISA_GLY_96,Cuantitativo,0.00423,0.01,0.1,False,False,2026-05-05,LAB Acopio Norte,TEC07,0.00423
M0000117,L000117,F0042,Glifosato,ELISA_GLY_96,Cuantitativo,0.02438,0.01,0.1,True,False,2026-07-04,LAB Acopio Sur,TEC04,0.02438
M0000118,L000118,F0007,Glifosato,ELISA_GLY_96,Cuantitativo,0.00079,0.01,0.1,False,False,2026-01-10,LAB Acopio Sur,TEC06,0.00079
M0000119,L000119,F0075,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-05-25,LAB Movil Campana,TEC11,0.0
M0000120,L000120,F0072,Glifosato,ELISA_GLY_96,Cuantitativo,0.00431,0.01,0.1,False,False,2026-04-07,LAB Acopio Sur,TEC04,0.00431
M0000121,L000121,F0082,Glifosato,ELISA_GLY_96,Cuantitativo,0.00284,0.01,0.1,False,False,2026-05-06,LAB Movil Campana,TEC06,0.00284
M0000122,L000122,F0069,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-08-03,LAB Acopio Sur,TEC09,0.0
M0000123,L000123,F0030,Glifosato,ELISA_GLY_96,Cuantitativo,0.00731,0.01,0.1,False,False,2025-09-15,LAB Acopio Norte,TEC08,0.00731
M0000124,L000124,F0040,Glifosato,ELISA_GLY_96,Cuantitativo,0.02943,0.01,0.1,True,False,2026-06-28,LAB Movil Campana,TEC11,0.02943
M0000125,L000125,F0111,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-06-01,LAB Movil Campana,TEC08,0.0
M0000126,L000126,F0074,Glifosato,ELISA_GLY_96,Cuantitativo,0.06757,0.01,0.1,True,False,2026-04-04,LAB Movil Campana,TEC02,0.06757
M0000127,L000127,F0085,Glifosato,ELISA_GLY_96,Cuantitativo,0.00492,0.01,0.1,False,False,2025-05-27,LAB Acopio Norte,TEC03,0.00492
M0000128,L000128,F0063,Glifosato,ELISA_GLY_96,Cuantitativo,0.04297,0.01,0.1,True,False,2025-05-15,LAB Acopio Norte,TEC11,0.04297
M0000129,L000129,F0088,Glifosato,ELISA_GLY_96,Cuantitativo,0.00081,0.01,0.1,False,False,2025-07-20,LAB Acopio Norte,TEC12,0.00081
M0000130,L000130,F0037,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-08-10,LAB Acopio Sur,TEC07,0.0
M0000131,L000131,F0081,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2026-07-01,LAB Acopio Sur,TEC06,0.0
M0000132,L000132,F0046,Glifosato,ELISA_GLY_96,Cuantitativo,0.00669,0.01,0.1,False,False,2026-06-21,LAB Acopio Norte,TEC02,0.00669
M0000133,L000133,F0037,Glifosato,ELISA_GLY_96,Cuantitativo,0.03278,0.01,0.1,True,False,2025-06-09,LAB Acopio Norte,TEC06,0.03278
M0000134,L000134,F0078,Glifosato,ELISA_GLY_96,Cuantitativo,0.008,0.01,0.1,False,False,2026-07-17,LAB Acopio Sur,TEC10,0.008
M0000135,L000135,F0077,Glifosato,ELISA_GLY_96,Cuantitativo,0.01527,0.01,0.1,True,False,2025-06-10,LAB Movil Campana,TEC12,0.01527
M0000136,L000136,F0068,Glifosato,ELISA_GLY_96,Cuantitativo,0.03034,0.01,0.1,True,False,2025-04-26,LAB Movil Campana,TEC08,0.03034
M0000137,L000137,F0070,Glifosato,ELISA_GLY_96,Cuantitativo,0.05739,0.01,0.1,True,False,2026-07-30,LAB Movil Campana,TEC08,0.05739
M0000138,L000138,F0005,Glifosato,ELISA_GLY_96,Cuantitativo,0.00287,0.01,0.1,False,False,2026-01-29,LAB Movil Campana,TEC07,0.00287
M0000139,L000139,F0016,Glifosato,ELISA_GLY_96,Cuantitativo,0.00129,0.01,0.1,False,False,2025-07-24,LAB Movil Campana,TEC04,0.00129
M0000140,L000140,F0050,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-07-02,LAB Acopio Norte,TEC05,0.0
M0000141,L000141,F0068,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-07-25,LAB Acopio Norte,TEC10,0.0
M0000142,L000142,F0084,Glifosato,ELISA_GLY_96,Cuantitativo,0.0299,0.01,0.1,True,False,2026-06-24,LAB Acopio Norte,TEC11,0.0299
M0000143,L000143,F0006,Glifosato,ELISA_GLY_96,Cuantitativo,0.00311,0.01,0.1,False,False,2026-04-13,LAB Acopio Norte,TEC04,0.00311
M0000144,L000144,F0034,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-05-25,LAB Acopio Sur,TEC09,0.0
M0000145,L000145,F0012,Glifosato,ELISA_GLY_96,Cuantitativo,0.00597,0.01,0.1,False,False,2026-06-18,LAB Movil Campana,TEC08,0.00597
M0000146,L000146,F0085,Glifosato,ELISA_GLY_96,Cuantitativo,0.00309,0.01,0.1,False,False,2025-05-13,LAB Acopio Norte,TEC01,0.00309
M0000147,L000147,F0073,Glifosato,ELISA_GLY_96,Cuantitativo,0.01455,0.01,0.1,True,False,2025-10-17,LAB Movil Campana,TEC10,0.01455
M0000148,L000148,F0049,Glifosato,ELISA_GLY_96,Cuantitativo,0.00262,0.01,0.1,False,False,2025-11-23,LAB Acopio Norte,TEC01,0.00262
M0000149,L000149,F0060,Glifosato,ELISA_GLY_96,Cuantitativo,0.03226,0.01,0.1,True,False,2026-06-28,LAB Acopio Sur,TEC04,0.03226
M0000150,L000150,F0022,Glifosato,ELISA_GLY_96,Cuantitativo,2e-05,0.01,0.1,False,False,2025-04-25,LAB Acopio Norte,TEC09,2e-05
M0000151,L000151,F0078,Glifosato,ELISA_GLY_96,Cuantitativo,0.00467,0.01,0.1,False,False,2026-06-26,LAB Acopio Sur,TEC08,0.00467
M0000152,L000152,F0094,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-05-30,LAB Movil Campana,TEC01,0.0
M0000153,L000153,F0067,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-04-11,LAB Acopio Sur,TEC12,0.0
M0000154,L000154,F0107,Glifosato,ELISA_GLY_96,Cuantitativo,0.00293,0.01,0.1,False,False,2026-06-28,LAB Movil Campana,TEC01,0.00293
M0000155,L000155,F0102,Glifosato,ELISA_GLY_96,Cuantitativo,0.07179,0.01,0.1,True,False,2025-09-28,LAB Movil Campana,TEC02,0.07179
M0000156,L000156,F0080,Glifosato,ELISA_GLY_96,Cuantitativo,0.00166,0.01,0.1,False,False,2026-04-29,LAB Movil Campana,TEC03,0.00166
M0000157,L000157,F0029,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-05-25,LAB Movil Campana,TEC05,0.0
M0000158,L000158,F0039,Glifosato,ELISA_GLY_96,Cuantitativo,0.01289,0.01,0.1,True,False,2026-03-19,LAB Acopio Norte,TEC07,0.01289
M0000159,L000159,F0064,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-11-09,LAB Acopio Norte,TEC02,0.0
M0000160,L000160,F0066,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-08-13,LAB Acopio Sur,TEC08,0.0
M0000161,L000161,F0093,Glifosato,ELISA_GLY_96,Cuantitativo,0.00601,0.01,0.1,False,False,2026-04-30,LAB Acopio Sur,TEC12,0.00601
M0000162,L000162,F0061,Glifosato,ELISA_GLY_96,Cuantitativo,0.00164,0.01,0.1,False,False,2026-08-22,LAB Movil Campana,TEC06,0.00164
M0000163,L000163,F0020,Glifosato,ELISA_GLY_96,Cuantitativo,0.02371,0.01,0.1,True,False,2025-07-16,LAB Movil Campana,TEC07,0.02371
M0000164,L000164,F0038,Glifosato,ELISA_GLY_96,Cuantitativo,0.14462,0.01,0.1,True,True,2025-06-29,LAB Movil Campana,TEC05,0.14462
M0000165,L000165,F0051,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-09-17,LAB Movil Campana,TEC12,0.0
M0000166,L000166,F0025,Glifosato,ELISA_GLY_96,Cuantitativo,0.00661,0.01,0.1,False,False,2026-07-04,LAB Acopio Sur,TEC09,0.00661
M0000167,L000167,F0088,Glifosato,ELISA_GLY_96,Cuantitativo,0.00607,0.01,0.1,False,False,2026-06-03,LAB Acopio Sur,TEC01,0.00607
M0000168,L000168,F0104,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-08-16,LAB Acopio Sur,TEC02,0.0
