finca_id,es_convencional,certificacion,empresa_exportadora,lat,lon,altitud_m,pendiente_pct,area_ha,distancia_vecino_convencional_m,azimut_vecino_deg,tiene_barrera_viva,anios_certificacion,vecino_usa_glifosato,vecino_usa_clorpirifos,vecino_usa_cipermetrina,vecino_usa_carbendazim
F0016,0,Organico,Cenfrocafe,-6.243819,-77.875241,1240.5,32.81,2.81,292.8,203.3,0,9,1,0,0,0
F0017,0,Organico,Perhusa,-6.271691,-77.856356,1788.5,17.35,1.33,19.7,337.7,1,5,1,1,0,0
F0018,0,Organico,Coop. Norandino,-6.223521,-77.902249,1849.3,23.66,1.03,259.2,62.4,0,3,1,1,0,1
F0019,0,Organico,Cenfrocafe,-6.227856,-77.860276,1511.9,17.18,1.39,220.9,83.7,0,0,1,0,1,0
F0020,0,Organico,Perhusa,-6.203015,-77.891499,1469.5,32.97,1.53,452.1,221.2,0,8,0,1,0,0
F0021,0,Organico,Coop. Norandino,-6.289409,-77.862982,1480.2,5.24,2.37,225.3,49.9,0,11,1,1,1,0
F0022,0,Organico,Olam Peru,-6.253643,-77.857958,1579.2,18.33,4.12,452.9,281.1,0,11,1,1,0,1
F0023,0,Organico,Perhusa,-6.16102,-77.836957,1552.0,19.74,1.18,1017.0,151.9,0,12,0,1,0,0
F0024,0,Organico,Cenfrocafe,-6.335479,-77.802737,1560.2,47.82,1.87,125.8,266.4,0,4,0,0,0,1
F0025,0,Organico,Perhusa,-6.23198,-77.956049,1518.3,21.26,1.88,45.0,92.8,1,4,0,0,1,1
F0026,0,Organico,Perhusa,-6.234647,-77.77177,1177.6,20.73,1.91,525.4,241.4,0,4,1,0,0,0
F0027,0,Organico,Cenfrocafe,-6.278109,-77.792917,1112.3,5.48,1.18,121.1,76.1,1,4,1,1,0,0
F0028,0,Organico,Coop. Norandino,-6.23311,-77.852895,2123.3,7.99,3.06,98.8,136.7,0,10,0,0,0,0
F0029,0,Organico,Olam Peru,-6.194239,-77.84402,2035.7,13.42,3.04,180.8,129.2,0,0,1,1,0,0
F0030,0,Organico,Cenfrocafe,-6.208701,-77.903554,1617.0,31.41,2.24,119.5,61.6,0,0,1,0,1,0
F0031,0,Organico,Perhusa,-6.245783,-77.930433,1558.4,18.61,0.73,431.5,306.8,0,0,1,1,1,0
F0032,1,Convencional,Olam Peru,-6.261096,-77.924119,2036.8,19.08,2.16,0.0,18.2,0,0,0,0,0,1
F0033,0,Organico,Olam Peru,-6.206627,-77.89367,1657.3,34.99,4.08,191.7,65.9,0,9,1,0,0,1
F0034,0,Organico,Cenfrocafe,-6.210887,-77.884352,1457.0,5.64,3.39,217.3,317.1,0,6,1,0,0,0
F0035,1,Convencional,Olam Peru,-6.258054,-77.822609,1693.7,8.6,0.71,0.0,260.1,0,0,0,0,0,0
F0036,1,Convencional,Perhusa,-6.222683,-77.925461,1715.6,17.57,1.89,0.0,341.9,0,0,1,0,1,1
F0037,0,Organico,Coop. Norandino,-6.202488,-77.860607,1335.5,19.16,0.62,76.7,256.5,1,12,1,1,0,1
F0038,0,Organico,Cenfrocafe,-6.242459,-77.855441,1853.8,22.73,0.89,280.8,295.3,0,0,1,0,0,0
F0039,0,Organico,Perhusa,-6.220278,-77.782594,1459.2,7.89,2.53,172.0,292.0,0,13,0,0,0,0
F0040,0,Organico,Perhusa,-6.173754,-77.9086,1529.0,23.81,0.97,58.2,84.8,0,7,0,0,0,0
F0041,1,Convencional,Cenfrocafe,-6.182791,-77.885367,1808.1,23.01,2.58,0.0,198.6,0,0,1,1,0,0
F0042,0,Organico,Olam Peru,-6.207797,-77.965144,1571.8,20.47,2.06,716.0,306.0,1,12,1,1,0,0
F0043,0,Organico,Olam Peru,-6.172343,-77.94526,1539.0,21.97,3.46,128.6,335.5,0,13,1,1,0,0
F0044,0,Organico,Coop. Norandino,-6.316667,-77.890424,1544.7,10.12,3.39,416.6,200.1,0,6,1,0,1,0
F0045,0,Organico,Cenfrocafe,-6.250378,-77.829407,1994.3,26.1,2.66,99.7,331.2,0,14,1,1,0,0
F0046,0,Organico,Cenfrocafe,-6.280221,-77.881118,1719.3,24.58,0.79,310.4,250.3,0,14,0,0,0,0
F0047,0,Organico,Cenfrocafe,-6.189188,-77.797679,1685.2,7.57,1.28,73.5,21.5,1,7,1,0,0,0
F0048,1,Convencional,Cenfrocafe,-6.194666,-77.821844,1691.7,14.31,1.96,0.0,175.0,0,0,1,1,0,1
F0049,0,Organico,Olam Peru,-6.195158,-77.915286,1529.2,19.63,0.72,234.0,164.6,1,12,1,1,1,0
F0050,0,Organico,Olam Peru,-6.299602,-77.914674,1948.4,9.46,6.55,126.5,36.4,0,2,1,0,0,0
F0051,0,Organico,Cenfrocafe,-6.226275,-77.931362,2109.5,12.23,0.66,344.9,237.5,0,0,1,1,0,1
F0052,1,Convencional,Perhusa,-6.205389,-77.824633,1516.7,13.17,1.31,0.0,62.9,0,0,1,1,0,0
F0053,0,Organico,Olam Peru,-6.259058,-77.903719,1458.1,31.09,2.43,499.4,295.0,0,3,1,0,1,1
F0054,0,Organico,Olam Peru,-6.194803,-77.865255,1328.6,5.06,3.58,386.6,106.7,0,2,0,1,1,0
F0055,0,Organico,Olam Peru,-6.242013,-77.880005,1482.1,13.12,2.56,206.0,277.9,1,3,1,0,0,1
F0056,0,Organico,Cenfrocafe,-6.208033,-77.901973,1616.3,24.77,1.98,85.0,74.5,0,8,0,1,0,0
F0057,1,Convencional,Perhusa,-6.31478,-77.83029,1580.9,4.75,2.6,0.0,59.3,0,0,1,0,0,0
F0058,1,Convencional,Coop. Norandino,-6.283461,-77.752213,1337.4,34.2,1.39,0.0,306.8,0,0,0,1,1,0
F0059,0,Organico,Perhusa,-6.24869,-77.973555,1865.9,3.55,6.88,86.7,109.3,1,7,1,0,0,0
F0060,0,Organico,Cenfrocafe,-6.300751,-77.829667,1893.8,9.8,2.09,214.7,86.4,0,4,1,0,1,1
F0061,0,Organico,Cenfrocafe,-6.24335,-77.862969,1826.1,12.96,3.08,182.8,334.8,1,1,0,1,0,0
F0062,0,Organico,Cenfrocafe,-6.195756,-77.845767,2178.6,25.8,3.22,304.2,354.1,0,12,0,0,1,1
F0063,0,Organico,Olam Peru,-6.24247,-77.958643,1588.0,15.73,0.95,604.9,196.7,0,2,1,1,1,0
F0064,0,Organico,Cenfrocafe,-6.273338,-77.803319,1396.3,18.32,0.9,250.9,6.0,0,3,0,1,0,0
F0065,1,Convencional,Olam Peru,-6.218568,-77.902281,1885.5,27.59,2.84,0.0,323.4,0,0,1,0,0,0
F0066,0,Organico,Perhusa,-6.262117,-77.809675,1394.1,12.58,2.19,175.2,26.8,0,10,1,0,1,0
F0067,0,Organico,Olam Peru,-6.267312,-77.767735,1722.2,18.66,3.7,95.3,145.7,1,10,0,1,1,0
F0068,0,Organico,Olam Peru,-6.153649,-77.88017,1344.5,24.37,4.24,116.1,27.4,0,9,1,1,1,0
F0069,0,Organico,Coop. Norandino,-6.317656,-77.833844,1834.4,41.16,1.57,81.2,325.4,0,0,1,0,1,1
F0070,0,Organico,Perhusa,-6.190307,-77.846534,1730.2,20.99,1.5,517.5,253.6,1,12,1,1,0,0
F0071,0,Organico,Cenfrocafe,-6.236705,-77.870433,1762.8,21.61,2.58,72.1,21.0,1,7,1,0,0,0
F0072,0,Organico,Perhusa,-6.083346,-77.827567,1826.3,11.98,1.56,618.3,291.2,0,6,0,0,0,0
F0073,0,Organico,Coop. Norandino,-6.195619,-77.91784,1873.1,12.83,5.5,196.0,44.4,0,0,1,0,1,0
F0074,0,Organico,Cenfrocafe,-6.273227,-77.869993,1757.9,29.69,2.81,1279.4,349.1,0,6,1,0,0,0
F0075,0,Organico,Cenfrocafe,-6.228428,-77.937396,1855.2,18.58,1.08,175.7,317.1,0,14,1,1,0,1
F0076,0,Organico,Coop. Norandino,-6.314755,-77.908636,1512.5,38.72,1.15,55.5,30.7,0,9,1,0,0,1
F0077,0,Organico,Perhusa,-6.226238,-77.836649,2119.3,30.83,1.9,358.7,271.1,1,6,1,0,1,0
F0078,0,Organico,Cenfrocafe,-6.26101,-77.819452,1328.6,17.0,2.14,324.4,71.7,0,11,1,0,0,1
F0079,1,Convencional,Coop. Norandino,-6.270662,-77.809754,1502.5,11.83,1.55,0.0,76.6,0,0,1,1,0,0
F0080,0,Organico,Cenfrocafe,-6.268208,-77.911801,1643.5,12.77,3.11,109.9,187.5,0,4,1,0,0,1
F0081,0,Organico,Cenfrocafe,-6.149415,-77.940385,1544.9,8.77,1.7,156.8,84.6,0,8,0,0,1,0
F0082,0,Organico,Coop. Norandino,-6.194409,-77.869585,1780.0,13.82,1.21,85.9,321.9,0,2,1,1,1,0
F0083,0,Organico,Cenfrocafe,-6.167778,-77.892238,1507.7,14.81,6.97,632.9,13.9,1,7,1,0,0,0
F0084,0,Organico,Perhusa,-6.172748,-77.857752,1857.4,13.15,3.59,351.4,59.5,0,4,1,1,0,1
F0085,0,Organico,Olam Peru,-6.275559,-77.854125,1444.7,15.93,6.44,213.9,53.6,1,3,1,0,1,0
F0086,0,Organico,Cenfrocafe,-6.218816,-77.925416,1338.8,24.79,1.06,23.4,104.8,0,1,0,0,1,1
F0087,0,Organico,Cenfrocafe,-6.208935,-77.798434,1799.6,20.76,0.76,344.7,204.1,0,2,1,0,0,0
F0088,0,Organico,Olam Peru,-6.277296,-77.844197,1695.7,14.67,0.36,118.5,158.7,1,10,1,1,0,0
F0089,0,Organico,Olam Peru,-6.213888,-77.849612,1643.7,12.95,1.06,40.2,295.1,0,7,0,0,0,0
F0090,0,Organico,Olam Peru,-6.198792,-77.818238,1840.2,11.57,1.15,386.1,318.0,0,6,1,1,0,0
F0091,0,Organico,Cenfrocafe,-6.220014,-77.876668,1468.5,18.82,0.7,829.2,18.8,0,5,1,0,0,0
F0092,1,Convencional,Perhusa,-6.247917,-77.810214,1685.7,14.28,4.22,0.0,159.8,0,0,1,1,0,0
F0093,0,Organico,Cenfrocafe,-6.244277,-77.905014,1617.4,12.58,3.22,287.2,163.1,0,6,1,1,1,0
F0094,0,Organico,Coop. Norandino,-6.26844,-77.941196,1529.4,29.03,0.98,268.2,285.1,1,6,1,0,1,0
F0095,0,Organico,Perhusa,-6.278251,-77.86119,1443.9,11.27,1.59,275.6,303.0,1,2,0,0,1,1
F0096,0,Organico,Cenfrocafe,-6.147255,-77.809589,2028.4,30.33,3.37,202.8,97.1,1,7,1,1,1,1
F0097,1,Convencional,Coop. Norandino,-6.309644,-77.892268,1696.0,7.5,2.62,0.0,140.1,0,0,1,0,0,0
F0098,0,Organico,Cenfrocafe,-6.211644,-77.898789,1837.6,15.51,2.13,228.6,263.3,0,14,0,0,1,1
F0099,0,Organico,Coop. Norandino,-6.175659,-77.80608,1576.3,48.12,1.8,100.7,25.4,0,9,1,1,1,0
F0100,1,Convencional,Cenfrocafe,-6.26015,-77.845398,1719.8,12.6,2.72,0.0,278.1,0,0,0,0,0,1
F0101,0,Organico,Coop. Norandino,-6.335544,-77.859576,1730.9,20.1,3.21,505.4,337.8,0,3,1,0,0,0
F0102,0,Organico,Cenfrocafe,-6.276705,-77.94307,1364.2,24.57,0.9,25.4,265.1,0,6,1,1,0,0
F0103,0,Organico,Coop. Norandino,-6.177785,-77.916974,2084.2,14.73,2.49,52.9,78.9,0,12,1,1,0,0
F0104,0,Organico,Olam Peru,-6.209848,-77.862177,1687.4,20.52,1.7,63.5,193.3,1,3,1,1,0,0
F0105,0,Organico,Perhusa,-6.236433,-77.879821,1751.1,11.72,5.68,234.9,148.7,0,8,0,1,0,0
F0106,0,Organico,Cenfrocafe,-6.253456,-77.838182,1435.0,6.99,0.62,171.4,186.8,0,3,1,1,0,1
F0107,0,Organico,Cenfrocafe,-6.227364,-77.903736,2216.1,18.0,1.0,655.5,51.4,0,9,1,1,1,0
F0108,0,Organico,Cenfrocafe,-6.216882,-77.81985,2013.9,9.14,1.48,87.4,244.4,0,2,1,1,0,0
F0109,0,Organico,Coop. Norandino,-6.251739,-77.891479,1866.6,10.98,2.13,72.6,293.0,1,14,0,1,1,0
F0110,0,Organico,Coop. Norandino,-6.272403,-77.878926,2005.1,47.62,1.59,455.8,235.6,0,10,0,0,0,1
F0111,0,Organico,Perhusa,-6.236579,-77.857572,1413.9,28.73,1.8,685.0,183.3,1,5,0,0,1,1
F0112,0,Organico,Perhusa,-6.27653,-77.861569,1719.7,19.55,0.81,286.9,7.5,0,7,1,0,0,0
F0113,0,Organico,Perhusa,-6.209298,-77.889035,1767.4,6.89,3.23,234.4,50.4,0,5,0,1,0,0
F0114,0,Organico,Olam Peru,-6.301772,-77.850053,1844.5,35.85,2.14,167.7,111.9,0,14,1,0,0,0
F0115,1,Convencional,Olam Peru,-6.224002,-77.861661,1370.0,9.27,0.72,0.0,272.8,0,0,1,1,0,0
F0116,0,Organico,Perhusa,-6.225748,-77.848013,1751.7,16.8,0.51,171.8,252.4,0,6,0,0,1,1
F0117,1,Convencional,Olam Peru,-6.289418,-77.815774,1586.5,12.68,1.46,0.0,77.8,0,0,1,1,0,1
F0118,0,Organico,Olam Peru,-6.27731,-77.833127,1572.3,14.37,0.8,184.7,166.4,0,8,1,0,0,0
F0119,0,Organico,Olam Peru,-6.220322,-77.900785,1437.4,11.98,0.73,159.4,262.1,0,1,0,0,0,1
F0120,0,Organico,Olam Peru,-6.221027,-77.875309,1407.9,22.07,1.04,681.8,345.9,0,5,0,1,0,0
