finca_id,fecha,viento_medio_kmh,viento_max_kmh,direccion_media_deg,precipitacion_acum_mm,temperatura_media_c,humedad_media_pct,dias_sin_lluvia
F0001,2025-05-02,5.759,11.65,17.461,123.48,24.767,80.62,2
F0001,2025-05-03,5.181,11.65,11.22,119.38,24.639,81.1,0
F0001,2025-05-04,5.069,11.65,8.194,93.93,24.395,80.98,1
F0001,2025-05-05,5.058,11.65,7.613,105.74,24.393,81.487,0
F0001,2025-05-06,5.455,11.65,359.883,105.74,24.29,82.507,1
F0001,2025-05-07,4.799,11.5,10.87,114.0,24.229,82.633,0
F0001,2025-05-08,5.337,11.5,5.624,127.86,24.201,83.027,0
F0001,2025-05-09,5.503,11.5,7.437,136.38,24.058,84.147,0
F0001,2025-05-10,6.081,11.72,18.487,139.78,24.13,84.08,0
F0001,2025-05-11,5.682,11.72,20.819,115.55,24.391,83.94,1
F0001,2025-05-12,5.558,11.72,12.471,114.92,24.265,84.387,0
F0001,2025-05-13,5.723,11.72,10.388,159.22,24.201,85.24,0
F0001,2025-05-14,5.986,11.72,8.741,148.13,24.335,84.693,0
F0001,2025-05-15,6.124,11.72,7.238,144.46,24.111,85.187,0
F0001,2025-05-16,6.075,11.72,7.282,155.13,24.163,85.64,0
F0001,2025-05-17,5.673,11.72,16.901,163.7,24.048,86.013,0
F0001,2025-05-18,5.637,11.72,13.652,163.45,24.023,85.867,0
F0001,2025-05-19,5.712,11.72,9.874,181.93,24.044,85.953,0
F0001,2025-05-20,5.973,11.72,14.344,166.0,24.018,85.407,1
F0001,2025-05-21,5.867,11.72,24.998,184.8,23.859,86.013,0
F0001,2025-05-22,5.989,11.72,29.927,181.87,23.841,85.533,0
F0001,2025-05-23,5.521,11.72,37.529,189.6,23.961,85.36,0
F0001,2025-05-24,5.188,11.72,33.159,181.41,23.883,85.427,1
F0001,2025-05-25,4.831,8.6,22.766,184.45,23.721,85.433,0
F0001,2025-05-26,5.117,8.6,29.699,184.45,23.481,84.933,1
F0001,2025-05-27,5.647,12.34,39.721,187.55,23.433,84.4,0
F0001,2025-05-28,5.688,12.34,40.519,152.83,23.294,84.013,0
F0001,2025-05-29,5.429,12.34,50.487,138.3,23.185,84.08,1
F0001,2025-05-30,5.14,12.34,51.984,151.87,23.248,84.533,0
F0001,2025-05-31,5.304,12.34,46.299,149.61,22.817,84.04,0
F0001,2025-06-01,5.32,12.34,43.558,169.36,22.881,84.853,0
F0001,2025-06-02,5.554,12.34,41.502,166.38,22.946,85.387,1
F0001,2025-06-03,5.589,12.34,43.754,147.9,23.115,85.307,2
F0001,2025-06-04,5.325,12.34,42.756,156.92,22.975,84.76,0
F0001,2025-06-05,4.917,12.34,44.11,138.12,23.127,83.447,1
F0001,2025-06-06,4.767,12.34,40.625,139.56,23.095,83.813,0
F0001,2025-06-07,4.729,12.34,42.594,118.82,22.871,83.673,0
F0001,2025-06-08,5.031,12.34,39.234,120.86,22.935,83.76,0
F0001,2025-06-09,4.867,12.34,38.106,116.4,22.973,84.487,0
F0001,2025-06-10,4.687,12.34,24.507,116.73,23.115,84.367,1
F0001,2025-06-11,4.351,7.31,7.382,102.58,23.101,84.107,0
F0001,2025-06-12,4.537,8.56,17.011,93.0,22.989,84.507,1
F0001,2025-06-13,4.329,8.56,13.376,95.29,22.778,84.633,0
F0001,2025-06-14,4.434,8.56,16.717,96.16,22.859,84.02,0
F0001,2025-06-15,4.677,10.19,24.559,94.94,23.161,84.5,0
F0001,2025-06-16,4.775,10.19,22.538,70.36,23.201,83.807,0
F0001,2025-06-17,4.773,10.19,18.365,74.31,23.071,84.253,0
F0001,2025-06-18,5.022,10.19,17.02,81.72,23.005,84.54,0
F0001,2025-06-19,5.059,10.19,15.886,83.59,22.92,85.407,0
F0001,2025-06-20,5.393,10.19,21.039,83.68,22.935,85.747,1
F0001,2025-06-21,5.55,10.19,22.375,76.91,22.743,85.98,2
F0001,2025-06-22,5.519,10.19,21.65,78.23,22.875,85.313,0
F0001,2025-06-23,5.295,10.19,24.506,85.58,22.861,85.567,0
F0001,2025-06-24,5.303,10.19,19.477,84.32,22.751,85.273,1
F0001,2025-06-25,5.154,10.19,24.346,105.93,22.582,86.033,0
F0001,2025-06-26,4.825,10.19,27.941,124.18,22.642,86.987,0
F0001,2025-06-27,4.491,10.19,21.962,124.18,22.699,86.667,1
F0001,2025-06-28,4.657,10.19,27.604,139.64,22.926,87.473,0
F0001,2025-06-29,4.55,10.19,25.315,125.99,22.769,87.92,0
F0001,2025-06-30,4.315,7.57,16.486,132.06,22.565,87.36,0
F0001,2025-07-01,3.889,7.57,10.853,128.32,22.297,87.273,1
F0001,2025-07-02,4.025,7.57,8.878,125.57,22.239,86.847,0
F0001,2025-07-03,3.896,7.44,359.289,123.54,22.053,86.967,0
F0001,2025-07-04,3.857,7.44,353.874,112.65,22.223,87.147,1
F0001,2025-07-05,3.678,7.44,349.773,119.48,21.985,87.187,0
F0001,2025-07-06,3.535,7.44,343.099,119.48,22.184,86.887,1
F0001,2025-07-07,3.609,7.44,343.133,115.68,22.152,87.673,2
F0001,2025-07-08,3.679,7.44,344.075,141.61,22.121,87.253,0
F0001,2025-07-09,3.759,7.44,357.86,140.89,22.08,87.367,1
F0001,2025-07-10,3.855,7.44,1.943,127.09,21.973,86.68,0
F0001,2025-07-11,4.351,9.82,14.772,97.1,21.908,86.173,0
F0001,2025-07-12,4.289,9.82,18.462,110.31,21.969,87.0,0
F0001,2025-07-13,4.63,9.82,358.324,92.56,21.944,86.08,1
F0001,2025-07-14,4.801,9.82,359.49,95.59,22.047,85.913,0
F0001,2025-07-15,4.573,9.82,6.934,82.33,22.244,86.527,1
F0001,2025-07-16,4.629,9.82,5.524,90.39,22.367,86.54,0
F0001,2025-07-17,4.768,9.82,1.726,89.19,22.205,86.467,1
F0001,2025-07-18,4.608,9.82,4.671,97.01,22.255,86.74,0
F0001,2025-07-19,4.727,9.82,357.124,97.01,22.268,86.66,1
F0001,2025-07-20,4.527,9.82,351.636,91.96,22.24,86.68,0
F0001,2025-07-21,4.87,9.82,346.386,93.97,22.034,86.613,0
F0001,2025-07-22,4.783,9.82,349.643,96.58,22.019,86.9,0
F0001,2025-07-23,5.0,9.82,343.778,74.72,21.911,86.733,0
F0001,2025-07-24,4.891,9.82,333.986,78.22,22.143,86.56,0
F0001,2025-07-25,4.796,9.82,332.719,83.71,22.223,87.207,0
F0001,2025-07-26,4.523,9.52,326.868,81.85,22.278,87.38,1
F0001,2025-07-27,4.563,9.52,325.6,79.8,22.379,86.7,0
F0001,2025-07-28,4.147,9.52,337.54,91.98,22.382,87.027,0
F0001,2025-07-29,4.331,9.52,330.122,82.91,22.525,86.767,1
F0001,2025-07-30,4.533,9.52,333.048,87.74,22.416,86.733,0
F0001,2025-07-31,4.996,9.52,327.092,80.51,22.434,87.34,1
F0001,2025-08-01,4.614,8.58,338.383,84.69,22.575,86.973,0
F0001,2025-08-02,5.034,9.54,347.371,80.39,22.593,86.92,0
F0001,2025-08-03,5.193,9.54,344.401,86.48,22.386,86.633,0
F0001,2025-08-04,5.275,9.54,345.9,93.64,22.565,86.933,0
F0001,2025-08-05,5.413,9.54,358.118,99.32,22.757,88.08,0
F0001,2025-08-06,5.911,9.59,351.422,96.71,22.786,87.52,1
F0001,2025-08-07,5.733,9.59,357.965,83.47,22.833,87.753,2
F0001,2025-08-08,5.968,9.59,2.941,79.97,22.699,87.533,3
F0001,2025-08-09,6.169,9.59,356.205,78.38,22.571,88.167,0
F0001,2025-08-10,6.129,9.59,348.441,77.48,22.469,87.913,1
F0001,2025-08-11,6.05,9.59,349.385,67.16,22.419,88.167,2
F0001,2025-08-12,5.958,9.59,348.24,54.98,22.464,88.84,3
F0001,2025-08-13,5.927,9.59,347.811,57.77,22.244,88.827,0
F0001,2025-08-14,5.831,9.59,350.874,73.53,22.315,88.813,0
F0001,2025-08-15,5.831,9.59,353.272,94.27,22.509,89.267,0
F0001,2025-08-16,5.883,9.59,350.187,90.09,22.819,89.507,1
F0001,2025-08-17,5.935,10.31,339.869,91.19,22.924,89.173,0
F0001,2025-08-18,5.676,10.31,346.188,85.1,22.99,89.513,1
F0001,2025-08-19,6.005,10.31,347.19,86.31,22.9,89.46,0
F0001,2025-08-20,5.89,10.31,344.844,86.29,23.019,88.907,0
F0001,2025-08-21,5.409,10.31,348.601,99.26,23.171,89.387,0
F0001,2025-08-22,5.607,10.31,345.114,98.71,23.447,88.993,1
F0001,2025-08-23,5.377,10.31,339.379,98.71,23.455,89.68,2
F0001,2025-08-24,5.285,10.31,342.426,86.67,23.639,88.713,3
F0001,2025-08-25,5.279,10.31,346.522,92.45,23.688,88.48,0
F0001,2025-08-26,5.425,10.31,345.92,117.68,23.672,88.52,0
F0001,2025-08-27,5.78,10.31,349.173,120.65,23.568,87.473,0
F0001,2025-08-28,5.637,10.31,355.883,142.96,23.569,88.32,0
F0001,2025-08-29,5.594,10.31,350.774,122.37,23.493,87.98,1
F0001,2025-08-30,5.343,10.31,350.715,103.6,23.24,87.02,0
F0001,2025-08-31,5.269,10.31,350.684,107.03,23.009,86.673,0
F0001,2025-09-01,4.755,7.4,354.88,97.03,22.945,86.613,1
F0001,2025-09-02,4.741,7.4,359.522,100.17,23.088,85.98,0
F0001,2025-09-03,4.411,7.4,357.221,93.52,23.073,85.9,0
F0001,2025-09-04,4.259,7.4,350.383,85.85,22.911,85.32,1
F0001,2025-09-05,4.212,7.4,348.649,101.74,22.802,85.453,0
F0001,2025-09-06,3.925,6.89,350.228,109.99,22.605,84.86,0
F0001,2025-09-07,3.959,6.89,354.053,109.99,22.623,84.513,1
F0001,2025-09-08,4.491,12.59,11.925,109.99,22.625,84.427,2
F0001,2025-09-09,4.61,12.59,11.429,104.21,22.991,84.887,3
F0001,2025-09-10,4.625,12.59,14.212,80.65,23.245,84.273,0
F0001,2025-09-11,4.723,12.59,20.746,84.4,23.361,84.82,0
F0001,2025-09-12,5.156,12.59,8.2,74.62,23.604,84.307,0
F0001,2025-09-13,5.138,12.59,6.84,95.09,23.69,84.967,0
F0001,2025-09-14,5.241,12.59,10.238,99.33,23.976,84.827,0
F0001,2025-09-15,5.281,12.59,9.285,97.53,24.026,84.44,0
F0001,2025-09-16,5.973,12.98,5.189,99.35,24.08,83.673,0
F0001,2025-09-17,6.043,12.98,358.854,100.31,24.09,83.833,0
F0001,2025-09-18,6.397,12.98,0.762,96.72,24.257,83.84,1
F0001,2025-09-19,6.397,12.98,1.702,105.4,24.323,83.987,0
F0001,2025-09-20,6.906,12.98,5.006,82.19,24.346,83.6,0
F0001,2025-09-21,7.146,12.98,2.238,73.94,24.421,83.873,1
F0001,2025-09-22,7.099,12.98,5.821,107.35,24.431,84.747,0
F0001,2025-09-23,6.441,12.98,357.368,118.19,24.531,84.907,0
F0001,2025-09-24,6.193,12.98,354.074,118.19,24.314,84.92,1
F0001,2025-09-25,6.143,12.98,355.255,117.54,24.146,85.213,0
F0001,2025-09-26,5.915,12.98,347.086,119.1,24.202,84.9,0
F0001,2025-09-27,5.669,12.98,350.844,109.88,24.131,84.447,0
F0001,2025-09-28,6.047,12.98,354.115,89.86,24.018,84.107,1
F0001,2025-09-29,6.004,12.98,349.779,82.82,23.938,83.367,2
F0001,2025-09-30,6.503,12.98,359.389,81.23,24.051,84.513,3
F0001,2025-10-01,5.951,11.55,6.8,96.13,24.015,85.26,0
F0001,2025-10-02,5.956,11.55,6.346,92.03,24.069,84.627,1
F0001,2025-10-03,5.791,11.55,8.35,93.05,23.975,83.687,0
F0001,2025-10-04,6.293,12.35,19.238,104.05,23.938,83.567,0
F0001,2025-10-05,6.025,12.35,24.224,101.77,23.985,83.14,0
F0001,2025-10-06,5.851,12.35,33.837,104.1,23.867,83.14,0
F0001,2025-10-07,6.067,12.35,26.782,77.21,23.921,81.813,0
F0001,2025-10-08,6.225,12.35,20.225,71.04,23.995,81.433,0
F0001,2025-10-09,6.593,12.35,29.936,74.7,23.875,80.727,0
F0001,2025-10-10,6.787,12.35,28.188,72.84,23.957,79.92,1
F0001,2025-10-11,7.284,12.4,19.043,78.61,23.951,80.127,0
F0001,2025-10-12,7.312,12.4,16.807,88.23,23.825,80.193,0
F0001,2025-10-13,7.191,12.4,14.68,87.88,24.12,80.147,1
F0001,2025-10-14,7.771,14.4,4.892,87.88,24.003,80.327,2
F0001,2025-10-15,7.396,14.4,358.656,87.84,23.769,79.48,3
F0001,2025-10-16,8.043,14.42,1.657,71.12,23.867,78.747,4
F0001,2025-10-17,8.592,14.42,6.085,71.12,23.948,79.0,5
F0001,2025-10-18,8.698,14.42,3.058,72.35,24.079,79.193,0
F0001,2025-10-19,8.164,14.42,352.339,52.67,24.153,78.947,1
F0001,2025-10-20,8.539,14.42,356.374,49.3,24.199,79.073,2
F0001,2025-10-21,8.558,14.42,353.723,46.97,24.429,79.267,3
F0001,2025-10-22,8.438,14.42,354.794,62.33,24.301,79.513,0
F0001,2025-10-23,8.549,14.42,357.951,65.64,24.414,79.48,0
F0001,2025-10-24,8.249,14.42,355.639,62.55,24.705,79.193,1
F0001,2025-10-25,8.302,14.42,356.16,62.55,24.759,79.413,2
F0001,2025-10-26,8.16,14.42,359.538,58.38,24.885,79.133,0
F0001,2025-10-27,7.775,14.42,359.306,42.66,24.976,77.94,1
F0001,2025-10-28,7.851,14.42,356.325,51.88,24.942,77.72,0
F0001,2025-10-29,7.389,14.42,1.397,56.35,25.138,77.627,0
F0001,2025-10-30,7.623,14.42,2.488,105.2,25.343,79.06,0
F0001,2025-10-31,7.399,12.83,353.073,115.76,25.511,78.333,0
F0001,2025-11-01,7.157,11.06,357.543,142.55,25.463,78.953,0
F0001,2025-11-02,7.163,11.06,359.171,141.87,25.603,78.807,0
F0001,2025-11-03,7.819,14.17,10.819,164.64,25.79,79.273,0
F0001,2025-11-04,7.676,14.17,357.882,164.64,25.751,78.98,1
F0001,2025-11-05,7.613,14.17,357.361,164.64,25.939,78.367,2
F0001,2025-11-06,7.447,14.17,1.942,151.27,26.261,78.16,0
F0001,2025-11-07,7.731,14.17,1.342,145.69,26.1,77.607,0
F0001,2025-11-08,7.817,14.17,357.169,145.12,25.883,78.06,1
F0001,2025-11-09,7.775,14.17,351.791,145.9,25.801,78.327,2
F0001,2025-11-10,8.032,14.17,3.533,136.02,25.621,78.273,3
F0001,2025-11-11,8.246,14.17,1.676,136.02,25.774,79.173,4
F0001,2025-11-12,8.407,14.17,15.736,155.58,25.817,79.053,0
F0001,2025-11-13,7.982,14.17,21.085,151.11,25.827,79.02,1
F0001,2025-11-14,8.235,14.17,21.007,102.26,25.828,76.927,2
F0001,2025-11-15,8.503,15.09,31.019,97.34,25.792,77.867,0
F0001,2025-11-16,8.468,15.09,22.818,70.55,25.794,76.82,1
F0001,2025-11-17,8.151,15.09,22.421,74.77,25.793,76.807,0
F0001,2025-11-18,8.411,18.06,21.765,81.04,25.691,76.613,0
F0001,2025-11-19,8.317,18.06,24.964,89.8,25.749,76.553,0
F0001,2025-11-20,8.645,18.06,23.467,89.8,25.531,76.213,1
F0001,2025-11-21,9.071,18.06,18.811,81.29,25.497,75.533,2
F0001,2025-11-22,8.711,18.06,19.548,83.01,25.457,75.34,0
F0001,2025-11-23,8.992,18.06,16.063,83.01,25.674,74.947,1
F0001,2025-11-24,8.93,18.06,17.031,82.23,25.802,73.713,2
F0001,2025-11-25,8.677,18.06,18.638,82.23,25.833,73.507,3
F0001,2025-11-26,8.595,18.06,22.66,82.23,25.973,73.287,4
F0001,2025-11-27,8.549,18.06,19.975,53.35,25.726,72.46,5
F0001,2025-11-28,9.203,18.06,22.058,64.61,25.79,72.693,0
F0001,2025-11-29,8.621,18.06,19.205,65.65,25.797,73.1,0
F0001,2025-11-30,7.789,18.06,12.939,64.86,25.826,72.953,0
F0001,2025-12-01,7.554,18.06,11.556,64.86,25.875,72.56,1
F0001,2025-12-02,7.733,18.06,16.368,59.07,25.862,71.9,2
F0001,2025-12-03,6.703,10.92,7.592,35.72,25.899,71.347,0
F0001,2025-12-04,6.557,10.92,3.244,26.96,25.974,71.407,1
F0001,2025-12-05,6.329,10.92,9.83,58.77,26.057,72.72,0
F0001,2025-12-06,6.0,10.92,15.497,58.77,26.1,72.713,1
F0001,2025-12-07,6.107,10.92,21.824,54.65,26.351,73.213,2
F0001,2025-12-08,6.657,17.9,21.42,57.31,26.173,73.64,0
F0001,2025-12-09,6.719,17.9,20.837,57.31,26.137,74.34,1
F0001,2025-12-10,6.694,17.9,1.371,57.31,26.103,74.22,2
F0001,2025-12-11,7.055,17.9,359.194,57.31,26.121,73.253,3
F0001,2025-12-12,7.305,17.9,345.434,57.31,26.389,73.847,4
F0001,2025-12-13,7.569,17.9,335.296,46.05,26.497,74.167,5
F0001,2025-12-14,7.962,17.9,338.352,45.01,26.7,74.02,6
F0001,2025-12-15,8.073,17.9,340.983,63.41,26.7,73.953,0
F0001,2025-12-16,8.228,17.9,341.863,63.41,26.795,74.607,1
F0001,2025-12-17,8.287,17.9,340.825,63.41,26.907,75.4,2
F0001,2025-12-18,8.511,17.9,343.334,57.72,26.777,74.96,3
F0001,2025-12-19,8.593,17.9,347.708,57.72,26.703,74.34,4
F0001,2025-12-20,8.617,17.9,348.102,25.91,26.816,74.04,5
F0001,2025-12-21,8.769,17.9,346.257,25.91,26.963,74.407,6
F0001,2025-12-22,8.663,17.9,346.075,25.91,26.869,74.727,7
F0001,2025-12-23,7.98,14.88,339.458,42.1,27.191,74.467,0
F0001,2025-12-24,7.691,14.88,340.716,42.1,27.275,74.16,1
F0001,2025-12-25,7.651,14.88,354.603,52.32,27.629,74.1,0
F0001,2025-12-26,7.669,14.88,0.937,52.32,27.716,74.42,1
F0001,2025-12-27,7.379,14.88,24.104,68.29,27.829,74.053,0
F0001,2025-12-28,7.377,14.85,27.957,72.23,27.959,73.467,0
F0001,2025-12-29,6.941,14.85,28.72,73.38,27.886,72.967,0
F0001,2025-12-30,6.984,14.85,24.127,50.13,27.985,72.713,1
F0001,2025-12-31,6.99,14.85,25.695,58.02,28.137,72.367,0
F0001,2026-01-01,7.455,14.85,36.313,73.86,28.054,72.107,0
F0001,2026-01-02,8.001,14.85,23.58,73.86,28.231,72.073,1
F0001,2026-01-03,8.021,14.85,23.231,73.86,28.115,71.967,2
F0001,2026-01-04,8.061,14.85,17.881,73.86,28.096,71.18,3
F0001,2026-01-05,8.323,14.85,20.124,73.86,27.858,71.367,4
F0001,2026-01-06,8.571,14.85,21.866,73.86,27.824,70.54,5
F0001,2026-01-07,8.811,14.85,22.881,55.01,27.616,70.047,6
F0001,2026-01-08,9.321,14.85,17.911,55.01,27.575,70.693,7
F0001,2026-01-09,9.63,14.85,6.842,44.79,27.335,70.467,8
