lote_id,finca_id,fecha_cosecha,peso_quintales,variedad,destino_previsto,dias_secado_patio
L000090,F0120,2025-08-15,205.3,Bourbon,Belgica,7
L000091,F0080,2025-05-19,134.7,Bourbon,Alemania,12
L000092,F0004,2026-08-12,92.3,Caturra,Paises_Bajos,5
L000093,F0080,2026-07-28,91.9,Bourbon,Belgica,17
L000094,F0017,2025-06-29,149.3,Bourbon,Japon,4
L000095,F0053,2026-06-18,156.6,Catimor,Francia,13
L000096,F0047,2026-04-21,202.0,Bourbon,Nacional,14
L000097,F0033,2026-08-20,70.8,Caturra,Estados_Unidos,20
L000098,F0094,2025-05-26,112.9,Typica,Estados_Unidos,11
L000099,F0072,2025-06-06,165.9,Bourbon,Estados_Unidos,12
L000100,F0038,2025-07-25,180.6,Catimor,Estados_Unidos,8
L000101,F0007,2025-04-30,147.5,Caturra,Francia,9
L000102,F0034,2026-03-17,220.8,Catimor,Francia,7
L000103,F0019,2026-05-17,81.3,Typica,Estados_Unidos,7
L000104,F0019,2026-04-19,75.6,Caturra,Alemania,4
L000105,F0049,2025-01-29,63.8,Caturra,Francia,16
L000106,F0062,2026-07-13,30.7,Catimor,Alemania,6
L000107,F0014,2025-05-20,183.4,Catimor,Japon,4
L000108,F0074,2025-04-13,204.5,Caturra,Japon,5
L000109,F0102,2025-06-12,109.3,Bourbon,Paises_Bajos,12
L000110,F0109,2026-08-05,84.5,Catimor,Alemania,16
L000111,F0001,2025-08-31,136.0,Caturra,Francia,17
L000112,F0080,2026-07-03,48.5,Bourbon,Estados_Unidos,20
L000113,F0051,2026-07-03,235.3,Caturra,Paises_Bajos,17
L000114,F0031,2025-06-25,77.0,Caturra,Paises_Bajos,12
L000115,F0070,2025-05-21,89.2,Caturra,Paises_Bajos,10
L000116,F0055,2026-05-05,142.0,Typica,Estados_Unidos,6
L000117,F0042,2026-07-04,118.1,Catimor,Estados_Unidos,17
L000118,F0007,2026-01-10,51.8,Bourbon,Paises_Bajos,17
L000119,F0075,2025-05-25,109.0,Caturra,Paises_Bajos,12
L000120,F0072,2026-04-07,83.0,Bourbon,Belgica,14
L000121,F0082,2026-05-06,194.9,Caturra,Paises_Bajos,10
L000122,F0069,2026-08-03,250.2,Typica,Francia,8
L000123,F0030,2025-09-15,124.9,Bourbon,Alemania,7
L000124,F0040,2026-06-28,40.2,Bourbon,Alemania,12
L000125,F0111,2025-06-01,47.2,Caturra,Paises_Bajos,4
L000126,F0074,2026-04-04,99.0,Catimor,Paises_Bajos,17
L000127,F0085,2025-05-27,192.4,Catimor,Alemania,12
L000128,F0063,2025-05-15,208.6,Caturra,Belgica,19
L000129,F0088,2025-07-20,49.3,Catimor,Belgica,20
L000130,F0037,2025-08-10,169.9,Caturra,Alemania,6
L000131,F0081,2026-07-01,83.9,Catimor,Paises_Bajos,16
L000132,F0046,2026-06-21,114.9,Caturra,Nacional,19
L000133,F0037,2025-06-09,129.0,Caturra,Francia,15
L000134,F0078,2026-07-17,68.6,Typica,Francia,10
L000135,F0077,2025-06-10,328.5,Typica,Nacional,18
L000136,F0068,2025-04-26,48.5,Caturra,Paises_Bajos,5
L000137,F0070,2026-07-30,123.5,Geisha,Alemania,20
L000138,F0005,2026-01-29,118.4,Catimor,Paises_Bajos,7
L000139,F0016,2025-07-24,80.1,Catimor,Alemania,20
L000140,F0050,2025-07-02,162.9,Typica,Francia,7
L000141,F0068,2025-07-25,258.8,Caturra,Alemania,7
L000142,F0084,2026-06-24,162.8,Geisha,Nacional,7
L000143,F0006,2026-04-13,139.3,Catimor,Francia,5
L000144,F0034,2025-05-25,121.7,Typica,Alemania,17
L000145,F0012,2026-06-18,111.7,Bourbon,Nacional,20
L000146,F0085,2025-05-13,173.7,Caturra,Alemania,14
L000147,F0073,2025-10-17,249.4,Bourbon,Paises_Bajos,18
L000148,F0049,2025-11-23,149.7,Caturra,Francia,18
L000149,F0060,2026-06-28,89.1,Geisha,Nacional,11
L000150,F0022,2025-04-25,161.8,Caturra,Belgica,10
L000151,F0078,2026-06-26,167.8,Catimor,Alemania,5
L000152,F0094,2025-05-30,46.5,Catimor,Belgica,15
L000153,F0067,2025-04-11,177.7,Typica,Francia,20
L000154,F0107,2026-06-28,114.8,Catimor,Francia,6
L000155,F0102,2025-09-28,321.5,Caturra,Francia,20
L000156,F0080,2026-04-29,304.8,Bourbon,Japon,20
L000157,F0029,2025-05-25,106.7,Typica,Alemania,9
L000158,F0039,2026-03-19,70.4,Caturra,Alemania,17
L000159,F0064,2025-11-09,121.8,Caturra,Estados_Unidos,5
L000160,F0066,2025-08-13,178.2,Typica,Nacional,6
L000161,F0093,2026-04-30,79.4,Bourbon,Paises_Bajos,14
L000162,F0061,2026-08-22,213.3,Caturra,Belgica,6
L000163,F0020,2025-07-16,147.4,Bourbon,Japon,9
L000164,F0038,2025-06-29,334.6,Catimor,Estados_Unidos,18
L000165,F0051,2025-09-17,104.6,Bourbon,Estados_Unidos,13
L000166,F0025,2026-07-04,49.8,Catimor,Estados_Unidos,12
L000167,F0088,2026-06-03,258.7,Catimor,Belgica,5
L000168,F0104,2025-08-16,74.4,Caturra,Alemania,10
L000169,F0084,2026-05-20,207.1,Catimor,Francia,11
L000170,F0001,2026-05-11,63.0,Catimor,Alemania,12
L000171,F0014,2025-08-27,112.3,Catimor,Alemania,11
L000172,F0017,2025-04-10,133.6,Caturra,Nacional,4
L000173,F0059,2026-06-05,61.4,Caturra,Estados_Unidos,11
L000174,F0069,2026-01-27,132.4,Typica,Francia,10
L000175,F0001,2026-06-20,168.1,Caturra,Estados_Unidos,14
L000176,F0078,2025-04-19,121.4,Typica,Alemania,15
L000177,F0055,2025-09-24,165.8,Geisha,Belgica,20
L000178,F0040,2026-06-23,95.6,Bourbon,Alemania,8
L000179,F0067,2026-04-12,115.0,Catimor,Belgica,8
L000180,F0051,2026-04-05,119.2,Typica,Alemania,18
L000181,F0082,2025-04-18,49.0,Caturra,Paises_Bajos,20
L000182,F0004,2025-09-02,224.3,Catimor,Alemania,13
L000183,F0045,2026-03-04,290.3,Caturra,Belgica,4
L000184,F0106,2025-09-28,389.6,Catimor,Francia,14
L000185,F0056,2025-01-22,121.2,Typica,Paises_Bajos,17
L000186,F0075,2025-05-22,149.9,Bourbon,Alemania,18
L000187,F0108,2025-09-10,171.1,Catimor,Francia,4
L000188,F0106,2025-04-21,65.4,Caturra,Belgica,17
L000189,F0043,2025-07-06,146.1,Catimor,Japon,19
L000190,F0074,2025-04-06,232.7,Bourbon,Paises_Bajos,4
L000191,F0094,2025-09-25,84.0,Bourbon,Belgica,10
L000192,F0071,2025-09-27,124.7,Bourbon,Japon,6
L000193,F0051,2026-06-25,330.6,Caturra,Nacional,20
L000194,F0095,2026-04-20,364.0,Geisha,Alemania,19
L000195,F0099,2025-09-27,103.5,Catimor,Alemania,12
L000196,F0068,2025-08-21,285.1,Bourbon,Alemania,5
L000197,F0021,2025-04-29,244.2,Catimor,Francia,17
L000198,F0043,2026-06-28,91.3,Caturra,Nacional,14
L000199,F0037,2026-01-21,132.1,Caturra,Alemania,6
L000200,F0074,2025-08-23,59.8,Typica,Nacional,16
L000201,F0031,2025-09-13,93.3,Typica,Francia,11
L000202,F0006,2026-07-30,98.5,Caturra,Alemania,18
L000203,F0040,2025-02-08,137.7,Catimor,Alemania,13
L000204,F0103,2026-08-12,172.0,Caturra,Belgica,8
L000205,F0066,2025-05-23,123.3,Bourbon,Estados_Unidos,9
L000206,F0042,2025-01-23,93.6,Bourbon,Francia,12
L000207,F0044,2026-08-17,142.1,Catimor,Alemania,16
L000208,F0027,2025-10-11,56.8,Caturra,Nacional,15
L000209,F0090,2025-04-24,324.5,Catimor,Belgica,18
L000210,F0039,2025-04-04,124.0,Catimor,Paises_Bajos,11
L000211,F0009,2025-06-05,174.6,Caturra,Belgica,16
L000212,F0110,2026-06-07,124.1,Typica,Francia,7
L000213,F0046,2026-05-09,90.0,Bourbon,Estados_Unidos,20
L000214,F0063,2026-07-08,100.5,Catimor,Alemania,4
L000215,F0049,2025-01-18,168.0,Caturra,Nacional,14
L000216,F0109,2026-07-16,254.7,Bourbon,Alemania,15
L000217,F0043,2025-04-20,98.3,Bourbon,Nacional,15
L000218,F0045,2025-09-04,158.8,Bourbon,Japon,5
L000219,F0089,2025-05-06,60.4,Catimor,Francia,4
L000220,F0016,2026-03-10,109.1,Catimor,Japon,14
L000221,F0003,2026-07-04,141.8,Bourbon,Alemania,9
L000222,F0056,2025-11-10,171.7,Geisha,Japon,4
L000223,F0082,2025-04-10,91.9,Catimor,Japon,18
L000224,F0005,2025-04-02,53.5,Bourbon,Estados_Unidos,11
L000225,F0025,2025-01-31,160.6,Caturra,Estados_Unidos,8
L000226,F0056,2025-08-03,129.7,Typica,Estados_Unidos,12
L000227,F0099,2026-07-22,160.6,Bourbon,Estados_Unidos,17
L000228,F0077,2025-07-22,102.3,Bourbon,Francia,17
L000229,F0024,2025-06-26,233.0,Catimor,Francia,19
L000230,F0044,2025-08-10,214.9,Caturra,Paises_Bajos,13
L000231,F0017,2025-06-09,460.0,Typica,Alemania,10
L000232,F0078,2026-07-29,230.3,Caturra,Nacional,15
L000233,F0001,2025-09-01,134.6,Catimor,Francia,4
L000234,F0120,2026-01-07,129.0,Bourbon,Japon,15
L000235,F0026,2026-04-25,212.4,Bourbon,Japon,13
L000236,F0060,2025-10-06,36.7,Caturra,Paises_Bajos,17
L000237,F0020,2026-06-20,307.1,Caturra,Francia,8
L000238,F0069,2026-07-04,75.8,Caturra,Francia,17
L000239,F0084,2025-03-02,66.1,Bourbon,Alemania,16
L000240,F0112,2025-09-26,225.1,Catimor,Alemania,14
L000241,F0030,2025-05-14,142.0,Bourbon,Francia,7
L000242,F0102,2026-06-16,184.5,Caturra,Francia,4
L000243,F0061,2026-03-12,248.2,Caturra,Paises_Bajos,15
L000244,F0056,2026-08-30,197.4,Catimor,Nacional,7
L000245,F0073,2025-09-05,114.8,Caturra,Alemania,15
L000246,F0105,2025-08-21,199.1,Catimor,Japon,9
L000247,F0074,2025-04-18,123.9,Caturra,Francia,7
L000248,F0018,2025-04-30,168.4,Caturra,Belgica,16
L000249,F0017,2025-07-17,66.3,Typica,Alemania,4
L000250,F0068,2026-07-05,280.1,Bourbon,Francia,11
L000251,F0103,2025-08-30,210.7,Caturra,Estados_Unidos,11
L000252,F0087,2026-04-15,62.4,Bourbon,Estados_Unidos,8
L000253,F0120,2026-06-06,131.8,Caturra,Japon,13
L000254,F0086,2026-03-12,151.4,Typica,Paises_Bajos,15
L000255,F0040,2025-06-13,80.0,Bourbon,Belgica,16
L000256,F0116,2025-06-15,177.4,Caturra,Francia,14
L000257,F0116,2026-08-17,38.3,Typica,Belgica,9
L000258,F0045,2025-08-22,110.1,Typica,Alemania,14
L000259,F0042,2025-09-11,90.7,Typica,Paises_Bajos,5
L000260,F0007,2026-08-20,150.6,Catimor,Estados_Unidos,15
L000261,F0105,2026-06-14,121.9,Caturra,Paises_Bajos,5
L000262,F0020,2025-05-07,103.1,Geisha,Paises_Bajos,18
L000263,F0014,2025-06-02,158.3,Caturra,Nacional,12
L000264,F0118,2026-07-09,159.6,Catimor,Paises_Bajos,10
L000265,F0086,2026-05-11,87.8,Catimor,Alemania,20
L000266,F0003,2026-02-06,76.3,Catimor,Japon,15
L000267,F0007,2025-01-15,160.8,Typica,Nacional,8
L000268,F0005,2025-09-13,33.0,Caturra,Belgica,5
L000269,F0028,2025-09-24,133.1,Bourbon,Francia,16
L000270,F0023,2025-07-05,261.2,Caturra,Alemania,14
L000271,F0070,2026-05-17,365.6,Typica,Francia,5
L000272,F0087,2026-08-19,97.2,Typica,Paises_Bajos,15
L000273,F0095,2025-07-28,43.0,Caturra,Estados_Unidos,19
L000274,F0006,2025-09-25,130.3,Bourbon,Alemania,10
L000275,F0083,2025-01-12,227.8,Typica,Alemania,16
L000276,F0038,2026-08-15,88.8,Bourbon,Nacional,19
L000277,F0112,2025-10-02,109.7,Geisha,Francia,5
L000278,F0054,2026-04-02,131.3,Caturra,Japon,17
L000279,F0066,2025-09-20,161.4,Typica,Belgica,12
L000280,F0077,2026-04-07,101.2,Geisha,Paises_Bajos,17
L000281,F0087,2026-04-30,205.1,Bourbon,Estados_Unidos,5
L000282,F0025,2025-07-21,89.0,Caturra,Nacional,16
L000283,F0001,2026-08-08,161.6,Bourbon,Estados_Unidos,15
L000284,F0075,2025-09-12,74.3,Typica,Alemania,16
L000285,F0022,2026-06-25,252.8,Typica,Alemania,14
L000286,F0062,2025-01-29,54.6,Caturra,Paises_Bajos,11
L000287,F0118,2026-04-12,147.5,Catimor,Belgica,14
L000288,F0033,2026-04-12,192.9,Catimor,Alemania,10
L000289,F0022,2026-04-03,243.0,Geisha,Belgica,19
L000290,F0021,2025-06-19,115.8,Bourbon,Francia,13
L000291,F0078,2026-07-09,55.4,Bourbon,Francia,17
L000292,F0009,2025-08-17,202.6,Bourbon,Nacional,17
L000293,F0071,2026-04-24,72.3,Bourbon,Alemania,6
L000294,F0116,2025-06-03,134.0,Caturra,Nacional,9
L000295,F0111,2025-10-21,121.7,Bourbon,Francia,10
L000296,F0078,2026-08-30,76.6,Caturra,Estados_Unidos,20
L000297,F0019,2025-09-01,126.5,Typica,Estados_Unidos,19
L000298,F0001,2025-05-18,68.2,Typica,Francia,8
L000299,F0093,2025-03-02,54.5,Typica,Estados_Unidos,20
L000300,F0024,2026-05-29,159.4,Catimor,Francia,15
L000301,F0061,2025-08-19,304.6,Typica,Estados_Unidos,13
L000302,F0109,2026-02-27,92.3,Caturra,Alemania,10
L000303,F0075,2026-07-01,76.7,Typica,Japon,20
L000304,F0056,2025-04-26,71.9,Catimor,Paises_Bajos,6
L000305,F0006,2025-08-30,173.1,Typica,Paises_Bajos,11
L000306,F0106,2025-03-12,155.8,Bourbon,Nacional,15
L000307,F0019,2026-07-01,58.1,Caturra,Estados_Unidos,10
L000308,F0037,2026-04-23,131.0,Caturra,Nacional,9
L000309,F0068,2025-08-11,124.7,Catimor,Francia,10
L000310,F0027,2026-07-02,116.6,Bourbon,Nacional,17
L000311,F0101,2025-10-06,118.2,Bourbon,Estados_Unidos,20
L000312,F0096,2025-09-11,67.3,Caturra,Estados_Unidos,10
L000313,F0120,2025-07-20,73.5,Caturra,Francia,9
L000314,F0019,2026-08-11,167.1,Caturra,Estados_Unidos,19
L000315,F0089,2026-05-29,166.6,Caturra,Belgica,14
L000316,F0118,2025-08-21,160.2,Caturra,Alemania,4
L000317,F0054,2026-05-04,289.8,Bourbon,Francia,5
L000318,F0096,2025-10-22,53.0,Catimor,Francia,12
L000319,F0099,2025-05-28,122.9,Typica,Nacional,18
L000320,F0050,2025-05-21,280.8,Geisha,Estados_Unidos,19
L000321,F0043,2026-08-20,234.9,Caturra,Francia,16
L000322,F0007,2026-07-24,93.8,Catimor,Alemania,20
L000323,F0068,2025-04-23,325.2,Catimor,Nacional,13
L000324,F0073,2025-10-23,268.7,Bourbon,Estados_Unidos,7
L000325,F0056,2025-07-22,87.2,Typica,Belgica,14
L000326,F0053,2025-04-11,90.5,Bourbon,Francia,9
L000327,F0102,2025-04-18,74.0,Catimor,Alemania,13
L000328,F0063,2026-05-15,109.1,Bourbon,Paises_Bajos,8
L000329,F0005,2026-06-23,346.5,Catimor,Paises_Bajos,17
L000330,F0074,2026-06-09,104.6,Catimor,Nacional,13
L000331,F0068,2026-04-03,131.6,Geisha,Alemania,10
L000332,F0093,2026-07-21,162.7,Catimor,Japon,18
L000333,F0081,2025-08-14,213.1,Geisha,Nacional,18
L000334,F0003,2025-08-23,102.7,Catimor,Japon,9
L000335,F0045,2025-06-12,92.4,Caturra,Paises_Bajos,4
L000336,F0094,2025-04-24,161.1,Typica,Estados_Unidos,19
L000337,F0002,2025-06-25,115.2,Caturra,Francia,6
L000338,F0075,2026-04-11,111.8,Typica,Alemania,20
L000339,F0021,2026-04-09,60.2,Typica,Belgica,15
L000340,F0001,2026-06-21,58.5,Geisha,Estados_Unidos,14
L000341,F0009,2025-03-12,257.1,Typica,Alemania,16
L000342,F0060,2026-05-20,161.4,Typica,Francia,14
L000343,F0053,2025-06-07,68.3,Caturra,Alemania,12
L000344,F0028,2025-09-24,208.4,Catimor,Estados_Unidos,13
L000345,F0116,2026-02-19,259.9,Bourbon,Japon,18
L000346,F0078,2025-08-28,210.6,Typica,Belgica,17
L000347,F0038,2025-09-22,199.7,Geisha,Japon,18
L000348,F0059,2025-08-25,144.3,Caturra,Belgica,8
L000349,F0005,2025-04-06,59.7,Caturra,Paises_Bajos,13
L000350,F0073,2025-09-14,325.7,Typica,Estados_Unidos,12
L000351,F0013,2026-04-13,108.5,Catimor,Nacional,9
L000352,F0012,2025-09-10,155.2,Caturra,Paises_Bajos,19
L000353,F0078,2025-09-17,169.9,Catimor,Francia,8
L000354,F0060,2025-11-28,59.6,Bourbon,Francia,19
L000355,F0003,2026-04-11,182.1,Catimor,Japon,17
L000356,F0028,2026-07-06,88.8,Typica,Estados_Unidos,16
L000357,F0001,2025-04-21,66.3,Caturra,Alemania,17
L000358,F0037,2025-09-20,37.0,Caturra,Francia,6
L000359,F0099,2026-05-31,111.0,Typica,Japon,12
L000360,F0049,2026-06-03,270.9,Caturra,Estados_Unidos,14
L000361,F0109,2025-11-17,197.3,Typica,Francia,5
L000362,F0089,2025-04-14,123.4,Caturra,Japon,4
L000363,F0076,2025-08-29,57.5,Geisha,Estados_Unidos,10
L000364,F0024,2026-04-03,68.2,Caturra,Japon,5
L000365,F0072,2025-06-23,85.4,Typica,Nacional,15
L000366,F0046,2025-09-18,58.4,Typica,Estados_Unidos,10
L000367,F0062,2026-05-28,157.2,Caturra,Alemania,7
L000368,F0027,2026-06-24,132.7,Bourbon,Estados_Unidos,13
L000369,F0077,2025-08-16,236.1,Catimor,Estados_Unidos,10
L000370,F0050,2025-09-14,126.8,Caturra,Alemania,17
L000371,F0051,2025-04-24,94.4,Caturra,Belgica,19
L000372,F0088,2026-08-07,50.3,Typica,Estados_Unidos,15
L000373,F0091,2026-05-26,64.1,Catimor,Francia,19
L000374,F0116,2025-05-08,143.0,Geisha,Belgica,5
L000375,F0040,2025-06-11,129.4,Catimor,Nacional,16
L000376,F0120,2025-10-27,248.4,Caturra,Alemania,17
L000377,F0063,2026-06-03,131.2,Typica,Belgica,19
L000378,F0039,2026-04-25,244.3,Catimor,Alemania,7
L000379,F0111,2026-04-05,135.2,Caturra,Francia,8
L000380,F0027,2026-05-31,294.0,Typica,Alemania,7
L000381,F0004,2026-06-14,57.7,Typica,Nacional,8
L000382,F0071,2025-12-28,85.6,Caturra,Japon,18
L000383,F0087,2025-05-11,68.4,Typica,Belgica,14
L000384,F0047,2025-05-17,117.8,Typica,Nacional,11
L000385,F0028,2026-08-10,109.7,Bourbon,Nacional,16
L000386,F0116,2025-02-03,202.0,Typica,Alemania,15
L000387,F0008,2025-06-15,65.2,Caturra,Paises_Bajos,15
L000388,F0094,2026-06-22,170.8,Geisha,Paises_Bajos,14
L000389,F0050,2025-04-08,39.4,Caturra,Paises_Bajos,4
L000390,F0087,2025-05-06,198.4,Typica,Belgica,10
L000391,F0067,2026-02-20,275.3,Catimor,Belgica,4
L000392,F0067,2025-11-01,102.9,Catimor,Francia,20
L000393,F0111,2025-05-14,139.9,Typica,Japon,12
L000394,F0002,2026-08-11,126.3,Catimor,Alemania,6
L000395,F0025,2025-04-07,105.6,Typica,Paises_Bajos,18
L000396,F0116,2026-04-18,60.2,Catimor,Japon,19
L000397,F0091,2025-09-16,33.0,Catimor,Alemania,5
L000398,F0072,2026-05-13,42.5,Bourbon,Belgica,20
L000399,F0066,2025-06-03,78.9,Typica,Estados_Unidos,4
L000400,F0084,2025-07-26,110.9,Bourbon,Nacional,15
L000401,F0053,2025-09-13,166.3,Geisha,Alemania,20
L000402,F0096,2026-04-08,151.8,Catimor,Paises_Bajos,10
L000403,F0051,2025-06-06,236.0,Caturra,Paises_Bajos,11
L000404,F0002,2026-05-04,156.2,Bourbon,Japon,15
L000405,F0027,2025-05-25,104.8,Bourbon,Alemania,6
L000406,F0038,2026-05-27,137.1,Bourbon,Estados_Unidos,6
L000407,F0063,2026-06-18,197.9,Bourbon,Belgica,9
L000408,F0112,2025-11-05,281.4,Caturra,Francia,9
L000409,F0020,2026-08-14,132.3,Catimor,Nacional,20
L000410,F0056,2025-05-24,148.5,Caturra,Alemania,8
L000411,F0111,2026-08-20,154.8,Catimor,Belgica,13
L000412,F0087,2025-09-14,89.8,Bourbon,Belgica,17
L000413,F0064,2025-01-02,191.4,Caturra,Francia,15
L000414,F0094,2026-08-30,120.4,Caturra,Alemania,17
L000415,F0047,2025-07-19,52.0,Catimor,Belgica,11
L000416,F0007,2025-09-23,128.0,Bourbon,Belgica,6
L000417,F0069,2025-07-31,336.3,Caturra,Alemania,13
L000418,F0105,2025-04-16,94.3,Bourbon,Estados_Unidos,17
L000419,F0103,2026-05-28,205.3,Catimor,Francia,14
L000420,F0116,2025-05-27,114.6,Caturra,Japon,16
L000421,F0087,2025-04-01,196.8,Bourbon,Paises_Bajos,18
L000422,F0090,2025-05-21,119.4,Catimor,Estados_Unidos,6
L000423,F0001,2025-09-22,210.2,Bourbon,Nacional,16
L000424,F0003,2025-04-17,153.4,Caturra,Francia,19
L000425,F0028,2025-06-02,281.3,Bourbon,Japon,10
L000426,F0002,2026-04-04,220.1,Typica,Paises_Bajos,14
L000427,F0090,2025-11-08,102.8,Caturra,Paises_Bajos,9
L000428,F0004,2026-08-17,96.3,Typica,Alemania,10
L000429,F0014,2025-09-23,54.0,Typica,Alemania,6
L000430,F0059,2025-05-20,170.4,Bourbon,Francia,19
L000431,F0068,2025-08-24,111.0,Catimor,Alemania,5
L000432,F0069,2026-08-27,91.4,Geisha,Francia,6
L000433,F0086,2026-06-19,106.1,Typica,Alemania,19
L000434,F0059,2025-05-07,68.3,Bourbon,Japon,17
L000435,F0103,2025-04-25,410.1,Catimor,Alemania,8
L000436,F0049,2026-04-30,102.1,Geisha,Paises_Bajos,8
