lote_id,excede_umbral_carbendazim,excede_umbral_cipermetrina,excede_umbral_clorpirifos,excede_umbral_glifosato,is_detectado_carbendazim,is_detectado_cipermetrina,is_detectado_clorpirifos,is_detectado_glifosato,ppm_detectado_carbendazim,ppm_detectado_clorpirifos,ppm_detectado_glifosato,n_kits_excedidos,n_kits_detectados,lote_contaminado
L000037,0,0,0,0,0,0,0,1,0.00562,0.0,0.01921,0,1,0
L000038,0,0,0,0,0,0,0,0,0.0003,0.002,0.0,0,0,0
L000039,0,0,1,0,1,0,1,0,0.02864,0.12964,0.00542,1,2,1
L000040,0,0,0,0,0,0,0,0,0.00044,0.00146,0.00178,0,0,0
L000041,0,0,0,0,1,0,1,0,0.01911,0.03081,0.00471,0,2,0
L000042,0,0,0,0,0,0,0,0,0.00202,0.00107,0.00121,0,0,0
L000043,0,0,1,0,1,0,1,1,0.01933,0.08521,0.0614,1,3,1
L000044,0,0,0,0,1,0,0,1,0.04254,0.0,0.03335,0,2,0
L000045,1,0,1,0,1,0,1,1,0.17195,0.0846,0.04638,2,3,1
L000046,0,1,0,0,1,1,0,1,0.08112,0.0,0.06852,1,3,1
L000047,0,0,0,0,0,0,0,1,0.0,0.00162,0.02886,0,1,0
L000048,0,1,0,0,1,1,0,1,0.01367,0.00275,0.03418,1,3,1
L000049,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000050,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000051,0,0,0,0,0,0,1,1,0.0,0.02907,0.03085,0,2,0
L000052,0,0,0,0,0,0,0,0,0.0,0.00151,0.0,0,0,0
L000053,0,1,0,0,0,1,1,1,0.0,0.0158,0.01991,1,3,1
L000054,0,0,1,0,0,0,1,1,0.0,0.09679,0.09775,1,2,1
L000055,0,0,0,0,1,0,0,1,0.03304,0.0,0.03436,0,2,0
L000056,0,0,0,0,1,0,1,0,0.02515,0.03183,0.00598,0,2,0
L000057,0,0,0,1,0,0,0,1,0.00853,0.00236,0.1301,1,1,1
L000058,0,0,0,0,0,0,0,0,0.00372,0.00068,0.0,0,0,0
L000059,0,0,0,0,0,0,0,0,0.00355,0.00017,0.0,0,0,0
L000060,0,0,0,0,0,0,0,0,0.0023,0.0,0.00196,0,0,0
L000061,0,0,0,0,0,0,0,0,0.0046,0.00045,0.00833,0,0,0
L000062,0,1,0,0,1,1,1,0,0.01385,0.02444,0.00597,1,3,1
L000063,0,1,0,0,1,1,1,0,0.0517,0.01675,0.0,1,3,1
L000064,0,0,0,0,0,0,1,1,0.0,0.01515,0.09506,0,2,0
L000065,0,0,0,0,0,0,1,0,0.00459,0.00794,0.00935,0,1,0
L000066,0,0,1,0,0,0,1,0,0.00077,0.08038,0.00215,1,1,1
L000067,0,0,0,0,0,0,0,0,0.00802,0.0,0.00616,0,0,0
L000068,0,0,0,0,0,0,0,0,0.0,0.0,0.00039,0,0,0
L000069,0,0,0,0,0,0,0,0,0.0,0.0,0.00521,0,0,0
L000070,0,0,0,0,0,0,0,0,0.0,0.0,0.00604,0,0,0
L000071,0,0,0,0,1,0,0,0,0.02165,0.001,0.00841,0,1,0
L000072,0,0,0,0,0,0,0,0,0.0,0.00486,0.0,0,0,0
L000073,0,0,1,0,0,0,1,0,0.00341,0.14648,0.00054,1,1,1
L000074,0,0,0,0,0,0,0,0,0.00145,0.00405,0.0,0,0,0
L000075,0,0,0,0,1,0,0,0,0.02261,0.0,0.0,0,1,0
L000076,0,0,0,0,0,0,0,0,0.00072,0.0,0.00868,0,0,0
L000077,0,0,0,0,0,0,0,0,0.00727,0.0,0.00059,0,0,0
L000078,0,0,0,0,0,0,0,1,0.0,0.00317,0.01584,0,1,0
L000079,0,1,0,0,0,1,0,0,0.00089,0.0,0.0,1,1,1
L000080,0,0,0,0,0,0,0,0,0.0,0.00026,0.0,0,0,0
L000081,0,0,0,0,1,0,0,0,0.01767,0.00139,0.0,0,1,0
L000082,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000083,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000084,0,0,0,0,0,0,1,1,0.00632,0.02946,0.02468,0,2,0
L000085,0,0,0,0,1,0,1,1,0.05018,0.00562,0.02001,0,3,0
L000086,0,1,0,0,1,1,1,1,0.02638,0.01761,0.04021,1,4,1
L000087,0,1,0,0,1,1,1,1,0.05103,0.04825,0.01083,1,4,1
L000088,0,0,0,0,0,0,0,1,0.00425,0.00084,0.06306,0,1,0
L000089,0,0,0,0,1,0,0,0,0.03091,0.0,0.00172,0,1,0
L000090,0,0,0,0,0,0,0,0,0.0,0.00489,0.0,0,0,0
L000091,0,0,1,0,0,0,1,0,0.00319,0.14768,0.0,1,1,1
L000092,0,0,0,0,0,0,0,0,0.0,0.0,0.00377,0,0,0
L000093,0,0,0,0,0,0,0,0,3e-05,0.0,0.0,0,0,0
L000094,0,1,1,0,0,1,1,1,0.00433,0.05376,0.04104,2,3,1
L000095,0,0,0,0,0,0,0,0,0.0,0.0016,0.0,0,0,0
L000096,0,0,0,1,0,0,1,1,0.00213,0.00791,0.20298,1,2,1
L000097,1,0,0,1,1,0,1,1,0.19302,0.03231,0.39795,2,3,1
L000098,0,0,0,0,0,0,0,1,0.0,0.0,0.04324,0,1,0
L000099,0,0,0,0,0,0,0,0,0.00164,0.00036,0.00234,0,0,0
L000100,0,1,0,0,1,1,0,1,0.01327,0.0,0.08691,1,3,1
L000101,0,0,0,0,0,0,0,0,0.00045,0.00097,0.00758,0,0,0
L000102,0,0,0,1,1,0,1,1,0.04059,0.01794,0.15531,1,3,1
L000103,0,0,0,0,0,0,0,0,0.00108,0.00053,0.0,0,0,0
L000104,0,0,0,0,0,0,1,0,0.0,0.02752,0.00365,0,1,0
L000105,0,0,0,0,0,0,0,0,0.0009,0.00283,0.00265,0,0,0
L000106,0,0,0,0,1,0,0,0,0.03338,0.0,0.0013,0,1,0
L000107,0,0,0,0,1,0,0,0,0.01265,0.00099,0.00328,0,1,0
L000108,0,0,0,0,0,0,0,1,0.00633,0.00338,0.05577,0,1,0
L000109,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000110,0,1,0,0,0,1,0,0,0.00271,0.0,0.0,1,1,1
L000111,0,0,0,0,0,0,1,1,0.0,0.01016,0.03603,0,2,0
L000112,0,0,0,0,0,0,0,0,0.00484,0.00395,0.0,0,0,0
L000113,0,0,0,0,0,0,0,0,0.00435,0.0,0.0,0,0,0
L000114,0,0,0,1,0,0,1,1,0.00503,0.02643,0.11159,1,2,1
L000115,0,1,0,0,1,1,1,1,0.03317,0.02111,0.0265,1,4,1
L000116,0,0,0,0,0,0,0,0,0.00161,0.00034,0.00423,0,0,0
L000117,0,0,1,0,0,0,1,1,0.0028,0.11903,0.02438,1,2,1
L000118,0,0,0,0,0,0,0,0,0.00429,0.00108,0.00079,0,0,0
L000119,0,0,1,0,1,0,1,0,0.01797,0.08683,0.0,1,2,1
L000120,0,0,0,0,1,0,0,0,0.01658,0.0,0.00431,0,1,0
L000121,0,0,0,0,1,0,1,0,0.01915,0.02982,0.00284,0,2,0
L000122,0,0,0,0,0,0,1,0,0.00405,0.03218,0.0,0,1,0
L000123,0,0,0,0,0,0,1,0,0.0,0.01923,0.00731,0,1,0
L000124,0,0,0,0,1,0,1,1,0.05695,0.0232,0.02943,0,3,0
L000125,0,0,0,0,0,0,1,0,0.0001,0.04981,0.0,0,1,0
L000126,0,0,0,0,0,0,0,1,0.0,0.0,0.06757,0,1,0
L000127,0,0,0,0,0,0,0,0,0.00269,0.0014,0.00492,0,0,0
L000128,0,0,0,0,1,0,0,1,0.08674,0.0,0.04297,0,2,0
L000129,0,0,0,0,0,0,0,0,0.00393,0.00061,0.00081,0,0,0
L000130,0,0,0,0,0,0,0,0,0.00052,0.0,0.0,0,0,0
L000131,0,1,0,0,1,1,1,0,0.01859,0.02139,0.0,1,3,1
L000132,1,0,0,0,1,0,0,0,0.1136,0.0,0.00669,1,1,1
L000133,0,0,0,0,1,0,1,1,0.01127,0.00971,0.03278,0,3,0
L000134,0,0,0,0,0,0,0,0,0.0,0.0,0.008,0,0,0
L000135,0,0,0,0,0,0,1,1,0.00155,0.02724,0.01527,0,2,0
L000136,0,0,0,0,1,0,1,1,0.0257,0.02659,0.03034,0,3,0
L000137,0,0,0,0,0,0,1,1,0.0,0.01841,0.05739,0,2,0
L000138,0,0,1,0,1,0,1,0,0.03773,0.10797,0.00287,1,2,1
L000139,0,1,0,0,0,1,0,0,0.0,0.00273,0.00129,1,1,1
L000140,0,0,0,0,0,0,0,0,0.0,0.00329,0.0,0,0,0
L000141,0,0,0,0,0,0,0,0,0.0044,0.00076,0.0,0,0,0
L000142,0,0,0,0,0,0,0,1,0.00548,0.00125,0.0299,0,1,0
L000143,0,0,0,0,0,0,1,0,0.0,0.04179,0.00311,0,1,0
L000144,0,0,0,0,0,0,0,0,0.00095,0.0,0.0,0,0,0
L000145,0,0,0,0,0,0,0,0,0.00249,0.00023,0.00597,0,0,0
L000146,0,0,0,0,0,0,0,0,0.0,0.0,0.00309,0,0,0
L000147,0,0,0,0,0,0,1,1,0.00204,0.00627,0.01455,0,2,0
L000148,0,0,0,0,0,0,1,0,0.00528,0.04494,0.00262,0,1,0
L000149,0,0,0,0,0,0,0,1,0.00953,0.00043,0.03226,0,1,0
L000150,0,0,0,0,0,0,1,0,0.0,0.00897,2e-05,0,1,0
L000151,0,0,0,0,0,0,0,0,0.0,0.0,0.00467,0,0,0
L000152,0,0,0,0,0,0,0,0,0.0,0.00229,0.0,0,0,0
L000153,0,1,1,0,0,1,1,0,0.0,0.0955,0.0,2,2,1
L000154,0,0,0,0,0,0,1,0,0.0,0.00602,0.00293,0,1,0
L000155,0,0,0,0,1,0,0,1,0.05737,0.0,0.07179,0,2,0
L000156,0,0,0,0,0,0,0,0,0.00067,0.0,0.00166,0,0,0
L000157,0,0,0,0,0,0,1,0,0.00914,0.01871,0.0,0,1,0
L000158,0,0,0,0,1,0,0,1,0.02267,0.00048,0.01289,0,2,0
L000159,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000160,0,0,0,0,0,0,0,0,0.0,0.00282,0.0,0,0,0
L000161,0,0,0,0,0,0,1,0,0.00359,0.00692,0.00601,0,1,0
L000162,0,0,0,0,0,0,0,0,0.0,0.00335,0.00164,0,0,0
L000163,0,0,0,0,1,0,0,1,0.03829,0.00153,0.02371,0,2,0
L000164,0,0,0,1,0,0,0,1,0.00506,0.00029,0.14462,1,1,1
L000165,0,0,0,0,0,0,0,0,0.00281,0.00063,0.0,0,0,0
L000166,0,0,0,0,0,0,0,0,0.0,0.0,0.00661,0,0,0
L000167,0,0,0,0,0,0,0,0,0.00602,0.0,0.00607,0,0,0
L000168,0,0,0,0,0,0,0,0,0.0027,0.00032,0.0,0,0,0
L000169,0,0,0,1,0,0,1,1,0.00162,0.03991,0.30746,1,2,1
L000170,0,0,0,0,0,0,0,0,0.00794,0.0,0.0058,0,0,0
L000171,0,0,0,0,1,0,1,0,0.02643,0.01947,0.00385,0,2,0
L000172,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000173,0,0,1,0,0,0,1,1,0.0,0.05611,0.03197,1,2,1
L000174,0,0,0,0,1,0,0,0,0.01819,0.00324,0.00568,0,1,0
L000175,0,1,0,0,1,1,0,1,0.07295,0.0,0.05032,1,3,1
L000176,0,0,0,0,0,0,0,0,0.0,0.0,0.00078,0,0,0
L000177,0,0,0,0,1,0,1,0,0.0293,0.03975,0.00585,0,2,0
L000178,0,0,0,0,0,0,1,0,0.00213,0.037,0.0,0,1,0
L000179,0,0,0,0,1,0,1,1,0.02883,0.03938,0.01611,0,3,0
L000180,0,0,0,0,0,0,0,0,0.0,0.0,0.00516,0,0,0
L000181,0,0,0,0,0,0,0,0,0.0,0.0,0.00717,0,0,0
L000182,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000183,0,0,1,1,1,0,1,1,0.02752,0.62229,1.44046,2,3,1
L000184,0,0,0,0,1,0,1,0,0.01702,0.00909,0.0,0,2,0
L000185,0,1,0,0,0,1,0,0,0.00507,0.0,0.00293,1,1,1
L000186,0,1,0,0,0,1,1,0,0.0,0.03651,0.0,1,2,1
L000187,0,0,0,0,1,0,0,0,0.03667,0.00225,0.0,0,1,0
L000188,0,0,0,0,0,0,0,0,0.00123,0.0,0.0,0,0,0
L000189,0,0,0,0,0,0,0,0,0.0,0.0,0.00573,0,0,0
L000190,0,0,0,0,0,0,0,1,0.00015,0.0,0.09418,0,1,0
L000191,0,1,0,0,1,1,1,0,0.02192,0.02549,0.00456,1,3,1
L000192,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000193,0,0,0,0,0,0,0,1,0.00653,0.00085,0.02376,0,1,0
L000194,0,1,1,0,1,1,1,0,0.01632,0.07022,0.0,2,3,1
L000195,0,1,1,0,1,1,1,1,0.02862,0.0779,0.04513,2,4,1
L000196,0,0,0,0,0,0,0,0,0.00271,0.00178,0.00272,0,0,0
L000197,0,0,0,0,0,0,0,0,0.0,0.00062,0.00061,0,0,0
L000198,0,0,0,0,0,0,0,0,0.0,0.00097,0.0043,0,0,0
L000199,0,0,0,0,0,0,0,0,0.00033,0.0005,0.0087,0,0,0
L000200,0,1,0,0,1,1,0,1,0.06973,0.0,0.0538,1,3,1
L000201,0,0,0,0,0,0,1,1,0.00574,0.01451,0.02431,0,2,0
L000202,0,0,1,0,0,0,1,0,0.0,0.17142,0.00391,1,1,1
L000203,0,0,0,0,1,0,0,1,0.05464,0.0,0.01426,0,2,0
L000204,0,0,1,1,0,0,1,1,0.00815,0.10751,0.35314,2,2,1
L000205,0,0,0,0,0,0,0,0,0.00293,0.00126,0.0054,0,0,0
L000206,0,0,0,0,0,0,1,1,0.00104,0.01119,0.09354,0,2,0
L000207,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000208,0,0,0,0,0,0,1,1,0.0,0.04193,0.0942,0,2,0
L000209,0,0,0,0,0,0,1,1,0.0,0.00872,0.02009,0,2,0
L000210,0,0,0,0,0,0,0,0,0.0,0.00057,0.0,0,0,0
L000211,0,1,0,1,0,1,0,1,0.00624,0.0,0.34666,2,2,1
L000212,0,0,0,0,1,0,0,0,0.02324,0.0,0.0,0,1,0
L000213,0,0,0,0,0,0,1,0,0.0,0.01051,0.0,0,1,0
L000214,0,0,0,0,1,0,0,0,0.04397,0.00237,0.0,0,1,0
L000215,0,0,0,0,0,0,0,0,0.00149,0.0,0.00631,0,0,0
L000216,0,0,0,0,0,0,1,0,0.00589,0.02286,0.00478,0,1,0
L000217,0,0,0,0,0,0,1,1,0.00824,0.03712,0.0379,0,2,0
L000218,0,0,1,1,0,0,1,1,0.0,0.25513,0.48771,2,2,1
L000219,0,0,0,0,0,0,1,1,0.00881,0.0349,0.02975,0,2,0
L000220,0,0,0,0,0,0,0,0,0.00136,0.0,0.0073,0,0,0
L000221,0,0,0,0,0,0,0,0,0.0,0.0,0.00448,0,0,0
L000222,0,0,0,0,0,0,0,0,0.00568,0.00053,0.00567,0,0,0
L000223,0,0,0,0,1,0,1,0,0.04349,0.04318,0.00308,0,2,0
L000224,0,0,0,0,1,0,1,1,0.02483,0.04281,0.01343,0,3,0
L000225,0,0,0,0,1,0,1,0,0.01636,0.04383,0.0,0,2,0
L000226,0,0,0,0,0,0,1,0,0.0,0.01322,0.0,0,1,0
L000227,0,1,1,1,0,1,1,1,0.0,0.30169,0.83587,3,3,1
L000228,0,0,0,0,0,0,0,0,0.00064,0.0,0.00453,0,0,0
L000229,0,0,0,0,0,0,0,0,0.00436,0.0,0.00951,0,0,0
L000230,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000231,0,0,0,0,0,0,0,1,0.00944,7e-05,0.01175,0,1,0
L000232,0,0,0,0,0,0,1,0,0.0,0.03515,0.00584,0,1,0
L000233,0,1,1,0,1,1,1,0,0.02799,0.06936,0.00546,2,3,1
L000234,0,0,0,0,0,0,0,0,0.00019,0.00336,0.0,0,0,0
L000235,0,0,0,0,0,0,0,1,0.00354,0.0,0.01243,0,1,0
L000236,0,0,0,0,0,0,0,0,0.00166,0.0027,0.0056,0,0,0
L000237,0,0,0,0,0,0,0,0,0.00182,0.00018,0.0,0,0,0
L000238,0,0,0,0,0,0,0,0,0.00583,0.0,0.00979,0,0,0
L000239,0,0,1,0,1,0,1,1,0.06094,0.09071,0.01347,1,3,1
L000240,0,0,0,0,0,0,0,0,0.0,0.00067,0.00859,0,0,0
L000241,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000242,0,0,0,0,0,0,1,1,0.00972,0.01733,0.01849,0,2,0
L000243,0,0,0,0,1,0,1,0,0.01537,0.03213,0.0,0,2,0
L000244,0,0,0,0,0,0,1,1,0.0,0.01755,0.0228,0,2,0
L000245,0,0,0,0,0,0,0,1,0.0,0.0008,0.01741,0,1,0
L000246,0,0,1,0,0,0,1,0,0.00221,0.05098,0.0,1,1,1
L000247,0,0,0,1,0,0,0,1,0.0,0.0,0.15059,1,1,1
L000248,0,0,0,0,0,0,0,0,0.00016,0.0029,0.00679,0,0,0
L000249,0,0,0,0,0,0,0,0,0.00261,0.0,0.0,0,0,0
L000250,0,0,0,0,1,0,0,0,0.01408,0.00306,0.00427,0,1,0
L000251,0,0,1,1,0,0,1,1,0.00187,0.16899,0.19898,2,2,1
L000252,0,0,0,0,0,0,0,1,0.0,0.00327,0.02178,0,1,0
L000253,0,0,0,0,0,0,0,0,0.00399,0.00411,0.0,0,0,0
L000254,0,1,0,0,0,1,0,0,0.00167,0.0,0.0,1,1,1
L000255,0,0,0,0,0,0,0,0,0.0,0.0,0.00423,0,0,0
L000256,0,1,0,1,1,1,0,1,0.03768,0.0,0.11225,2,3,1
L000257,0,0,0,0,0,0,0,0,0.00264,0.00081,0.0,0,0,0
L000258,0,0,1,1,0,0,1,1,0.0,0.11403,0.14812,2,2,1
L000259,0,0,0,0,0,0,0,1,0.00957,0.00133,0.01251,0,1,0
L000260,0,0,0,0,0,0,1,0,0.00483,0.0119,0.00231,0,1,0
L000261,0,0,1,0,1,0,1,1,0.03141,0.10658,0.04507,1,3,1
L000262,0,0,0,0,1,0,0,0,0.01767,0.0,0.00139,0,1,0
L000263,0,0,0,0,0,0,0,0,0.00191,0.0,0.00752,0,0,0
L000264,0,0,0,1,1,0,0,1,0.03695,0.0,0.20674,1,2,1
L000265,0,0,0,0,0,0,1,0,0.00112,0.02151,0.00161,0,1,0
L000266,0,0,0,0,0,0,0,0,0.00202,0.00129,0.00222,0,0,0
L000267,0,0,0,0,0,0,0,1,0.00489,0.0,0.01059,0,1,0
L000268,0,0,0,0,1,0,1,1,0.01958,0.03381,0.0207,0,3,0
L000269,0,1,0,0,0,1,0,1,0.0,0.0,0.01159,1,2,1
L000270,0,0,0,0,0,0,0,0,0.00223,0.0,0.00591,0,0,0
L000271,0,0,0,0,1,0,1,1,0.01937,0.02369,0.04537,0,3,0
L000272,0,0,0,0,0,0,0,0,0.00356,0.0,0.0,0,0,0
L000273,0,0,0,0,0,0,0,0,0.00192,0.0,0.00495,0,0,0
L000274,0,0,1,0,0,0,1,0,0.00365,0.05739,0.0,1,1,1
L000275,0,0,0,0,0,0,1,1,0.0,0.01227,0.07044,0,2,0
L000276,0,0,0,0,0,0,0,1,0.00463,6e-05,0.0503,0,1,0
L000277,0,0,0,0,0,0,0,0,0.00047,0.00167,0.00524,0,0,0
L000278,0,0,0,0,0,0,1,1,0.0,0.03457,0.05929,0,2,0
L000279,0,1,0,0,1,1,0,1,0.02179,0.0,0.02477,1,3,1
L000280,0,0,0,0,0,0,0,0,0.00393,0.0,0.00828,0,0,0
L000281,0,1,0,0,0,1,1,0,0.00297,0.01997,0.00131,1,2,1
L000282,0,0,0,0,0,0,0,0,0.00105,0.0,0.0004,0,0,0
L000283,0,0,0,0,0,0,0,0,0.0,0.0,0.00443,0,0,0
L000284,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000285,0,0,0,0,0,0,1,0,0.0,0.01317,0.00264,0,1,0
L000286,0,0,0,0,0,0,0,1,0.00384,0.00449,0.01431,0,1,0
L000287,0,0,0,0,1,0,0,1,0.06879,0.0,0.08194,0,2,0
L000288,0,0,0,0,1,0,0,1,0.03288,0.0,0.04525,0,2,0
L000289,0,0,1,0,1,0,1,1,0.01971,0.14902,0.06293,1,3,1
L000290,0,0,0,0,0,0,0,0,0.00265,0.00325,0.00021,0,0,0
L000291,0,0,0,0,1,0,1,1,0.0451,0.0158,0.04902,0,3,0
L000292,0,1,0,1,0,1,0,1,1e-05,0.0,0.20753,2,2,1
L000293,0,0,0,0,0,0,0,0,0.00387,0.0,0.00623,0,0,0
L000294,0,1,0,0,0,1,0,0,0.00023,0.0,0.00346,1,1,1
L000295,0,0,0,0,1,0,0,1,0.01484,0.0,0.02679,0,2,0
L000296,0,0,0,0,0,0,0,0,0.00162,0.0004,0.00031,0,0,0
L000297,0,1,0,0,1,1,0,1,0.01413,0.0,0.04707,1,3,1
L000298,0,0,0,0,0,0,0,1,0.0,0.0,0.01026,0,1,0
L000299,0,0,0,0,1,0,0,0,0.01824,0.0035,0.00798,0,1,0
L000300,0,0,0,0,0,0,0,1,0.00304,0.0,0.01447,0,1,0
L000301,0,0,0,0,0,0,0,0,0.0037,0.0031,0.00361,0,0,0
L000302,0,0,0,0,0,0,0,0,0.0,0.0,0.00641,0,0,0
L000303,0,0,0,0,0,0,0,0,0.0,0.00182,0.00014,0,0,0
L000304,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
L000305,0,1,0,0,0,1,0,1,0.0,0.0,0.02042,1,2,1
L000306,0,0,0,0,0,0,0,0,0.0,0.00266,0.0,0,0,0
L000307,0,0,0,0,0,0,0,0,0.00336,0.002,0.0,0,0,0
L000308,0,1,0,1,1,1,1,1,0.01777,0.0244,0.16125,2,4,1
L000309,0,0,0,0,0,0,0,0,0.00115,0.0,0.0,0,0,0
L000310,0,0,0,0,0,0,1,1,0.0,0.03287,0.08104,0,2,0
L000311,0,0,0,0,0,0,0,0,0.00143,0.0,0.00651,0,0,0
L000312,0,0,0,0,0,0,0,0,0.00066,0.0,0.00241,0,0,0
L000313,0,0,0,0,1,0,1,1,0.08572,0.01572,0.05986,0,3,0
L000314,0,0,0,0,0,0,0,1,0.00074,0.00115,0.03446,0,1,0
L000315,0,0,0,0,0,0,0,0,0.0,0.00116,0.0,0,0,0
L000316,0,1,0,1,1,1,0,1,0.01523,0.0,0.25732,2,3,1
L000317,0,0,0,0,0,0,0,1,0.00365,0.0,0.08534,0,1,0
L000318,0,0,0,0,0,0,0,0,0.00328,0.00382,0.0,0,0,0
L000319,0,1,1,1,0,1,1,1,0.0,0.11096,0.39781,3,3,1
L000320,0,0,0,0,0,0,0,0,0.0,0.0,0.0031,0,0,0
L000321,0,0,0,0,0,0,0,1,0.00124,0.00356,0.02483,0,1,0
L000322,0,0,0,0,0,0,0,1,0.00569,0.00274,0.01027,0,1,0
L000323,0,0,0,0,0,0,0,0,0.00118,0.0,0.0,0,0,0
L000324,0,0,0,0,1,0,0,0,0.07488,0.00112,0.00755,0,1,0
L000325,0,0,0,0,0,0,0,1,0.00174,0.0,0.0123,0,1,0
L000326,0,0,0,0,0,0,0,0,0.00515,0.0036,0.0,0,0,0
L000327,0,1,0,0,0,1,1,0,0.0053,0.04119,0.00551,1,2,1
L000328,0,0,0,0,0,0,0,1,0.00519,0.00085,0.04023,0,1,0
L000329,0,0,0,0,0,0,0,0,0.00079,0.00108,0.00015,0,0,0
L000330,0,1,0,0,1,1,0,1,0.05904,0.00361,0.09546,1,3,1
L000331,0,1,0,0,0,1,0,0,0.00092,0.00048,0.0,1,1,1
L000332,0,0,0,0,0,0,0,0,0.00073,0.00059,0.00182,0,0,0
L000333,0,1,0,0,0,1,0,0,0.00259,0.00028,0.00446,1,1,1
L000334,0,0,0,0,0,0,0,0,0.0,0.00135,0.0,0,0,0
L000335,0,0,1,1,1,0,1,1,0.01085,0.12719,0.26073,2,3,1
L000336,0,0,0,0,1,0,0,1,0.01018,0.0,0.07325,0,2,0
L000337,0,0,0,0,0,0,1,1,0.00338,0.02357,0.01714,0,2,0
L000338,0,0,0,0,0,0,0,0,0.00032,0.00023,0.0016,0,0,0
L000339,0,0,0,0,0,0,0,0,0.0,0.00193,0.00248,0,0,0
L000340,0,0,0,0,1,0,1,1,0.02015,0.01735,0.01628,0,3,0
